host_time,phase,cmd_x,cmd_y,cmd_z,cmd_yaw_deg
1784901225.828015,takeoff,0.0,0.0,0.050000160932540894,0.0
1784901225.852704,takeoff,0.0,0.0,0.05555630326271058,0.0
1784901225.876094,takeoff,0.0,0.0,0.06082518100738526,0.0
1784901225.896379,takeoff,0.0,0.0,0.06538772583007812,0.0
1784901225.918605,takeoff,0.0,0.0,0.070387202501297,0.0
1784901225.942258,takeoff,0.0,0.0,0.07570886611938477,0.0
1784901225.965625,takeoff,0.0,0.0,0.08096556663513184,0.0
1784901225.986603,takeoff,0.0,0.0,0.08568544983863831,0.0
1784901226.007795,takeoff,0.0,0.0,0.09045431017875671,0.0
1784901226.032874,takeoff,0.0,0.0,0.09609724879264832,0.0
1784901226.056849,takeoff,0.0,0.0,0.10149229764938356,0.0
1784901226.079982,takeoff,0.0,0.0,0.1066943347454071,0.0
1784901226.102057,takeoff,0.0,0.0,0.11166259050369262,0.0
1784901226.126673,takeoff,0.0,0.0,0.11720092296600343,0.0
1784901226.147181,takeoff,0.0,0.0,0.12181727290153505,0.0
1784901226.171124,takeoff,0.0,0.0,0.12719746232032775,0.0
1784901226.191486,takeoff,0.0,0.0,0.13178634643554688,0.0
1784901226.212731,takeoff,0.0,0.0,0.13656352162361146,0.0
1784901226.236019,takeoff,0.0,0.0,0.14180471897125246,0.0
1784901226.256120,takeoff,0.0,0.0,0.14632649421691896,0.0
1784901226.279671,takeoff,0.0,0.0,0.1516263782978058,0.0
1784901226.304140,takeoff,0.0,0.0,0.15713166594505312,0.0
1784901226.324465,takeoff,0.0,0.0,0.16170504689216614,0.0
1784901226.349399,takeoff,0.0,0.0,0.16731456518173218,0.0
1784901226.373567,takeoff,0.0,0.0,0.17275161743164064,0.0
1784901226.394625,takeoff,0.0,0.0,0.17749016880989077,0.0
1784901226.416039,takeoff,0.0,0.0,0.18230720162391661,0.0
1784901226.438062,takeoff,0.0,0.0,0.18726328015327454,0.0
1784901226.462013,takeoff,0.0,0.0,0.19265130162239075,0.0
1784901226.485057,takeoff,0.0,0.0,0.19783665537834166,0.0
1784901226.508104,takeoff,0.0,0.0,0.20302361845970157,0.0
1784901226.531180,takeoff,0.0,0.0,0.2082181453704834,0.0
1784901226.551976,takeoff,0.0,0.0,0.21289387941360477,0.0
1784901226.573825,takeoff,0.0,0.0,0.2178085446357727,0.0
1784901226.598529,takeoff,0.0,0.0,0.22336694002151491,0.0
1784901226.623637,takeoff,0.0,0.0,0.22901894450187682,0.0
1784901226.648507,takeoff,0.0,0.0,0.23461451530456545,0.0
1784901226.673554,takeoff,0.0,0.0,0.24024715423583987,0.0
1784901226.698556,takeoff,0.0,0.0,0.24587233662605285,0.0
1784901226.719507,takeoff,0.0,0.0,0.250587660074234,0.0
1784901226.740730,takeoff,0.0,0.0,0.25536349415779114,0.0
1784901226.762890,takeoff,0.0,0.0,0.26034955978393554,0.0
1784901226.786088,takeoff,0.0,0.0,0.2655547082424164,0.0
1784901226.809299,takeoff,0.0,0.0,0.2707913458347321,0.0
1784901226.832790,takeoff,0.0,0.0,0.27607728242874147,0.0
1784901226.855267,takeoff,0.0,0.0,0.2811300814151764,0.0
1784901226.878271,takeoff,0.0,0.0,0.2863111972808838,0.0
1784901226.902704,takeoff,0.0,0.0,0.29180543422698973,0.0
1784901226.924526,takeoff,0.0,0.0,0.29671897292137145,0.0
1784901226.949356,takeoff,0.0,0.0,0.3023027956485748,0.0
1784901226.969965,takeoff,0.0,0.0,0.3069402813911438,0.0
1784901226.994461,takeoff,0.0,0.0,0.31245189905166626,0.0
1784901227.016125,takeoff,0.0,0.0,0.31732858419418336,0.0
1784901227.041107,takeoff,0.0,0.0,0.32295129895210267,0.0
1784901227.063873,takeoff,0.0,0.0,0.3280662178993225,0.0
1784901227.088939,takeoff,0.0,0.0,0.33371210694313047,0.0
1784901227.109968,takeoff,0.0,0.0,0.33844250440597534,0.0
1784901227.135001,takeoff,0.0,0.0,0.3440511107444763,0.0
1784901227.156418,takeoff,0.0,0.0,0.3488922297954559,0.0
1784901227.181126,takeoff,0.0,0.0,0.35444992780685425,0.0
1784901227.202721,takeoff,0.0,0.0,0.3592961966991425,0.0
1784901227.224458,takeoff,0.0,0.0,0.3641966998577118,0.0
1784901227.245491,takeoff,0.0,0.0,0.3689363241195679,0.0
1784901227.266175,takeoff,0.0,0.0,0.37358915209770205,0.0
1784901227.290914,takeoff,0.0,0.0,0.3791533410549164,0.0
1784901227.314941,takeoff,0.0,0.0,0.38454683423042296,0.0
1784901227.338558,takeoff,0.0,0.0,0.3893474519252777,0.0
1784901227.361238,takeoff,0.0,0.0,0.39496700167655946,0.0
1784901227.386060,takeoff,0.0,0.0,0.4005564570426941,0.0
1784901227.409216,takeoff,0.0,0.0,0.40577110052108767,0.0
1784901227.429322,takeoff,0.0,0.0,0.410295182466507,0.0
1784901227.449732,takeoff,0.0,0.0,0.4148880898952484,0.0
1784901227.475074,takeoff,0.0,0.0,0.42058982253074645,0.0
1784901227.496729,takeoff,0.0,0.0,0.42546441555023196,0.0
1784901227.518431,takeoff,0.0,0.0,0.4303215205669403,0.0
1784901227.539011,takeoff,0.0,0.0,0.43497719168663024,0.0
1784901227.564091,takeoff,0.0,0.0,0.4406222224235535,0.0
1784901227.587462,takeoff,0.0,0.0,0.4458780109882355,0.0
1784901227.611049,takeoff,0.0,0.0,0.45118733644485476,0.0
1784901227.633483,takeoff,0.0,0.0,0.45623074769973754,0.0
1784901227.653826,takeoff,0.0,0.0,0.460802948474884,0.0
1784901227.678939,takeoff,0.0,0.0,0.4664596736431122,0.0
1784901227.702790,takeoff,0.0,0.0,0.4717966794967651,0.0
1784901227.727701,takeoff,0.0,0.0,0.47743200063705443,0.0
1784901227.748729,takeoff,0.0,0.0,0.4821642220020294,0.0
1784901227.771837,takeoff,0.0,0.0,0.4873640060424805,0.0
1784901227.794037,takeoff,0.0,0.0,0.4923571527004242,0.0
1784901227.815619,takeoff,0.0,0.0,0.49721490144729613,0.0
1784901227.840222,settle,0.0,0.0,0.5,0.0
1784901227.862552,settle,0.0,0.0,0.5,0.0
1784901227.883530,settle,0.0,0.0,0.5,0.0
1784901227.907312,settle,0.0,0.0,0.5,0.0
1784901227.932386,settle,0.0,0.0,0.5,0.0
1784901227.954416,settle,0.0,0.0,0.5,0.0
1784901227.977705,settle,0.0,0.0,0.5,0.0
1784901228.002771,settle,0.0,0.0,0.5,0.0
1784901228.025417,settle,0.0,0.0,0.5,0.0
1784901228.048972,settle,0.0,0.0,0.5,0.0
1784901228.073527,settle,0.0,0.0,0.5,0.0
1784901228.096710,settle,0.0,0.0,0.5,0.0
1784901228.119787,settle,0.0,0.0,0.5,0.0
1784901228.141949,settle,0.0,0.0,0.5,0.0
1784901228.163243,settle,0.0,0.0,0.5,0.0
1784901228.185369,settle,0.0,0.0,0.5,0.0
1784901228.205640,settle,0.0,0.0,0.5,0.0
1784901228.230040,settle,0.0,0.0,0.5,0.0
1784901228.251794,settle,0.0,0.0,0.5,0.0
1784901228.273945,settle,0.0,0.0,0.5,0.0
1784901228.294282,settle,0.0,0.0,0.5,0.0
1784901228.314584,settle,0.0,0.0,0.5,0.0
