image,host_time,phase,cmd_x,cmd_y,cmd_z,cmd_yaw_deg,frame_id,frame_width,frame_height,frame_bpp,frame_format,frame_gap8_timestamp,state_gap8_timestamp,state_stm32_timestamp,meta_x_m,meta_y_m,meta_z_m,meta_vx_mps,meta_vy_mps,meta_vz_mps,meta_quat,meta_rate_roll_rps,meta_rate_pitch_rps,meta_rate_yaw_rps,log_x,log_y,log_z,log_yaw_deg,log_vx,log_vy,log_vz,vbat,host_queue_dropped
frames/frame_000001.pgm,1784901216.589690,init,0.0,0.0,0.0,0.0,125,160,160,1,0,30197692,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,0
frames/frame_000002.pgm,1784901216.625502,init,0.0,0.0,0.0,0.0,126,160,160,1,0,30231018,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,0
frames/frame_000003.pgm,1784901216.656618,init,0.0,0.0,0.0,0.0,127,160,160,1,0,30264343,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,0
frames/frame_000004.pgm,1784901216.721931,init,0.0,0.0,0.0,0.0,128,160,160,1,0,30297668,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,0
frames/frame_000005.pgm,1784901216.737398,init,0.0,0.0,0.0,0.0,129,160,160,1,0,30330993,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,0
frames/frame_000006.pgm,1784901216.750753,init,0.0,0.0,0.0,0.0,130,160,160,1,0,30364318,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,0
frames/frame_000007.pgm,1784901216.788437,init,0.0,0.0,0.0,0.0,131,160,160,1,0,30397674,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,0
frames/frame_000008.pgm,1784901216.822711,init,0.0,0.0,0.0,0.0,132,160,160,1,0,30430999,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,0
frames/frame_000009.pgm,1784901216.854563,init,0.0,0.0,0.0,0.0,133,160,160,1,0,30464324,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,0
frames/frame_000010.pgm,1784901216.893621,init,0.0,0.0,0.0,0.0,134,160,160,1,0,30497650,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,0
frames/frame_000011.pgm,1784901216.921281,init,0.0,0.0,0.0,0.0,135,160,160,1,0,30530975,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,0
frames/frame_000012.pgm,1784901216.955643,init,0.0,0.0,0.0,0.0,136,160,160,1,0,30564300,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,0
frames/frame_000013.pgm,1784901216.988365,init,0.0,0.0,0.0,0.0,137,160,160,1,0,30597656,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,0
frames/frame_000014.pgm,1784901217.022913,init,0.0,0.0,0.0,0.0,138,160,160,1,0,30630981,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,0
frames/frame_000015.pgm,1784901217.054613,init,0.0,0.0,0.0,0.0,139,160,160,1,0,30664306,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,0
frames/frame_000016.pgm,1784901217.089335,init,0.0,0.0,0.0,0.0,140,160,160,1,0,30697631,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,0
frames/frame_000017.pgm,1784901217.125021,init,0.0,0.0,0.0,0.0,141,160,160,1,0,30730957,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,0
