host_time,phase,cmd_x,cmd_y,cmd_z,cmd_speed_scale,stateEstimate.x,stateEstimate.y,stateEstimate.z,stateEstimate.vx,stateEstimate.vy,pm.vbat,seqRx.rxOk,seqRx.crcErr,seqRx.badRx,seqRx.invalid,seqRx.duplicate,seqRx.seqGap,gate8.raw,gate8.qDrop,seqRx.d0,seqRx.d1,seqRx.d2,seqRx.d3,seqAvoid.valid,seqAvoid.stop,seqAvoid.mask,seqAvoid.sample,seqAvoid.side,seqAvoid.ageMs,seqAvoid.routePhase,seqAvoid.replans,seqAvoid.waypointX,seqAvoid.waypointY,seqAvoid.pathOffX,seqAvoid.pathOffY,seqAvoid.returnWait,seqAvoid.scanAvg,seqAvoid.scanCount,seqAvoid.scanRetries,seqAvoid.scanYaw,seqAvoid.scanYawGoal,seqAvoid.scanSettle,seqAvoid.scanDecision,seqAvoid.scanPidYaw,seqAvoid.barrier,seqAvoid.barrierA0,seqAvoid.barrierA1,seqAvoid.barrierB,seqAvoid.maxSlack,seqAvoid.dangerAvg,seqAvoid.avgCount,obs.mpcUs,obs.iter,obs.status,obs.priRes,obs.duaRes,obs.healthHold,obs.healthFaults,obs.scanBypass,obs.solveStart,obs.solveDone,obs.hbAge,obs.stallHold,obs.warmResets,obs.resetWhy,obs.solvePhase,obs.stackFree
1785861749.026786,monitor,,,,1.0,-1.1619583368301392,1.3882185220718384,7.630622712895274e-05,0.040320634841918945,-0.03296443447470665,3.7266862392425537,4121,0,0,0,0,0,197809,0,0.3633408546447754,0.31335926055908203,0.3349287509918213,0.36460399627685547,1,0,15,4120,0,55,0,0,-1.1619583368301392,1.3882185220718384,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,7412,5,-2,0.0,0.0012428183108568192,0,18,0,11819,11819,6,0,1,1,0,244
1785861749.060083,monitor,,,,1.0,-1.1610172986984253,1.386711597442627,-2.9986986191943288e-06,0.04025638476014137,-0.036809924989938736,3.7266862392425537,4121,0,0,0,0,0,197809,0,0.3633408546447754,0.31335926055908203,0.3349287509918213,0.36460399627685547,1,0,15,4121,0,38,0,0,-1.1614128351211548,1.3870741128921509,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,7412,5,-2,0.0,0.0012428183108568192,0,18,0,11819,11819,6,0,1,1,0,244
1785861749.119201,monitor,,,,1.0,-1.1605331897735596,1.3869661092758179,2.4400957045145333e-05,0.03969864547252655,-0.029215779155492783,3.7266862392425537,4122,0,0,0,0,0,197857,0,0.36797046661376953,0.3173563480377197,0.3389260768890381,0.36860179901123047,1,0,15,4122,0,41,0,0,-1.1605331897735596,1.3869661092758179,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,7412,5,-2,0.0,0.0012428183108568192,0,18,0,11819,11819,6,0,1,1,0,244
1785861749.167169,monitor,,,,1.0,-1.1602280139923096,1.3865137100219727,2.029981942541781e-06,0.03580033779144287,-0.027240589261054993,3.7266862392425537,4122,0,0,0,0,0,197857,0,0.3603935241699219,0.3094654083251953,0.33440089225769043,0.35976314544677734,1,0,15,4123,0,24,0,0,-1.1604310274124146,1.3864370584487915,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,7751,4,1,0.0,0.0003604888916015625,0,18,0,11824,11824,6,0,1,1,0,244
1785861749.216573,monitor,,,,1.0,-1.1597386598587036,1.386156678199768,-1.6286068785120733e-05,0.03379000350832939,-0.02423420548439026,3.7266862392425537,4124,0,0,0,0,0,197953,0,0.35376405715942383,0.3024158477783203,0.32419466972351074,0.3542912006378174,1,0,15,4124,0,26,0,0,-1.1597386598587036,1.386156678199768,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,7751,4,1,0.0,0.0003604888916015625,0,18,0,11824,11824,6,0,1,1,0,244
1785861749.261913,monitor,,,,1.0,-1.1597498655319214,1.3857240676879883,-2.8395663321134634e-05,0.027052409946918488,-0.025573935359716415,3.7266862392425537,4124,0,0,0,0,0,197953,0,0.36270904541015625,0.3137788772583008,0.3349277973175049,0.3674445152282715,1,0,15,4125,0,9,0,0,-1.1595607995986938,1.3853627443313599,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,6555,4,1,0.0,0.00041681528091430664,0,18,0,11829,11829,7,0,1,1,0,244
1785861749.322161,monitor,,,,1.0,-1.1599739789962769,1.385647177696228,-3.825164458248764e-05,0.023989491164684296,-0.019536420702934265,3.7266862392425537,4126,0,0,0,0,0,198049,0,0.3530285358428955,0.30378293991088867,0.32619380950927734,0.35366034507751465,1,0,15,4126,0,12,0,0,-1.1599739789962769,1.385647177696228,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,7372,5,-2,0.0,0.0011114487424492836,0,18,0,11834,11834,7,0,1,1,0,244
1785861749.426377,monitor,,,,1.0,-1.1599282026290894,1.3849997520446777,-6.090866736485623e-05,0.018260594457387924,-0.018510809168219566,3.7266862392425537,4128,0,0,0,0,0,198145,0,0.3619725704193115,0.3137788772583008,0.3356642723083496,0.36565542221069336,1,0,15,4127,0,55,0,0,-1.1599282026290894,1.3849997520446777,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,7419,4,1,0.0,0.0003708740696310997,0,18,0,11839,11839,6,0,1,1,0,244
1785861749.46324,monitor,,,,1.0,-1.160033106803894,1.3846169710159302,-7.953412568895146e-05,0.01549100037664175,-0.017773644998669624,3.721407651901245,4128,0,0,0,0,0,198145,0,0.3619725704193115,0.3137788772583008,0.3356642723083496,0.36565542221069336,1,0,15,4128,0,37,0,0,-1.1598466634750366,1.385066032409668,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,7419,4,1,0.0,0.0003708740696310997,0,18,0,11839,11839,6,0,1,1,0,244
1785861749.52318,monitor,,,,1.0,-1.1598514318466187,1.3849462270736694,-8.945297304308042e-05,0.013236582279205322,-0.01329757459461689,3.721407651901245,4129,0,0,0,0,0,198193,0,0.35281848907470703,0.3053607940673828,0.32924628257751465,0.35986757278442383,1,0,15,4129,0,40,0,0,-1.1598514318466187,1.3849462270736694,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,7922,4,1,0.0,0.0004374682903289795,0,18,0,11844,11844,6,0,1,1,0,244
