host_time,phase,cmd_x,cmd_y,cmd_z,stateEstimate.x,stateEstimate.y,stateEstimate.z,stateEstimate.vx,stateEstimate.vy,pm.vbat,seqRx.rxOk,seqRx.crcErr,seqRx.badRx,seqRx.invalid,seqRx.duplicate,seqRx.seqGap,gate8.raw,gate8.qDrop,seqRx.d0,seqRx.d1,seqRx.d2,seqRx.d3,seqAvoid.valid,seqAvoid.stop,seqAvoid.mask,seqAvoid.sample,seqAvoid.side,seqAvoid.ageMs,seqAvoid.routePhase,seqAvoid.replans,seqAvoid.waypointX,seqAvoid.waypointY,seqAvoid.pathOffX,seqAvoid.pathOffY,seqAvoid.returnWait,seqAvoid.scanAvg,seqAvoid.scanCount,seqAvoid.scanRetries,seqAvoid.scanYaw,seqAvoid.scanYawGoal,seqAvoid.scanSettle,seqAvoid.scanDecision,seqAvoid.scanPidYaw,seqAvoid.barrier,seqAvoid.barrierA0,seqAvoid.barrierA1,seqAvoid.barrierB,seqAvoid.maxSlack,seqAvoid.dangerAvg,seqAvoid.avgCount,seqAvoid.fwdClear,seqAvoid.speedCmd,seqAvoid.speedHalt,seqAvoid.goalDist,seqAvoid.goalReached,seqAvoid.openAvg0,seqAvoid.openAvg1,seqAvoid.openAvg2,seqAvoid.openAvg3,seqAvoid.sideScore0,seqAvoid.sideScore3,seqAvoid.scanClr0,seqAvoid.scanClr1,seqAvoid.scanClr2,seqAvoid.scanClr3,seqAvoid.scanSlope,seqAvoid.scanRetryWait,visGate.phase,visGate.laps,obs.mpcUs,obs.iter,obs.status,obs.priRes,obs.duaRes,obs.healthHold,obs.healthFaults,obs.scanBypass,obs.pidBypass,obs.solveStart,obs.solveDone,obs.hbAge,obs.stallHold,obs.warmResets,obs.resetWhy,obs.solvePhase,obs.stackFree
1785872730.3078458,takeoff,0.0,0.0,0.05000002910383046,-0.00031129459966905415,0.00010174362978432328,0.00015285109111573547,-0.0046554263681173325,0.0002436783688608557,3.8322582244873047,121,0,0,0,0,0,5826,0,0.3659703731536865,0.31009650230407715,0.3330347537994385,0.36260414123535156,1,0,15,122,-1,44,0,0,-0.0003584266232792288,0.00010507230035727844,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,0.31009650230407715,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-10,0.0,0.0,0,0,0,380,0,0,0,0,0,0,0,291
1785872730.3303108,takeoff,0.0,0.0,0.05224678330123425,-0.00031129459966905415,0.00010174362978432328,0.00015285109111573547,-0.0046554263681173325,0.0002436783688608557,3.8322582244873047,121,0,0,0,0,0,5826,0,0.3659703731536865,0.31009650230407715,0.3330347537994385,0.36260414123535156,1,0,15,122,-1,44,0,0,-0.0003584266232792288,0.00010507230035727844,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,0.31009650230407715,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-10,0.0,0.0,0,0,0,380,0,0,0,0,0,0,0,291
1785872730.3529742,takeoff,0.0,0.0,0.0545157750020735,-0.0008216382120735943,0.0001090388759621419,8.077956590568647e-05,-0.00682837376371026,0.0006676623015664518,3.8322582244873047,123,0,0,0,0,0,5905,0,0.3599727153778076,0.30399441719055176,0.32514309883117676,0.3511343002319336,1,0,15,123,-1,27,0,0,-0.000644991232547909,0.0003491505340207368,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,0.31009650230407715,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-10,0.0,0.0,0,0,0,382,0,0,0,0,0,0,0,291
1785872730.3736079,takeoff,0.0,0.0,0.0565816333051771,-0.0008216382120735943,0.0001090388759621419,8.077956590568647e-05,-0.00682837376371026,0.0006676623015664518,3.8322582244873047,123,0,0,0,0,0,5905,0,0.3599727153778076,0.30399441719055176,0.32514309883117676,0.3511343002319336,1,0,15,123,-1,27,0,0,-0.000644991232547909,0.0003491505340207368,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,0.30399441719055176,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-10,0.0,0.0,0,0,0,382,0,0,0,0,0,0,0,291
1785872730.3937778,takeoff,0.0,0.0,0.05860006660223008,-0.0006924907211214304,0.0002082514256471768,0.00010921050852630287,-0.006818791385740042,0.0024064809549599886,3.5366568565368652,123,0,0,0,0,0,5905,0,0.3599727153778076,0.30399441719055176,0.32514309883117676,0.3511343002319336,1,0,15,123,-1,27,0,0,-0.000644991232547909,0.0003491505340207368,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,0.30399441719055176,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-10,0.0,0.0,0,0,0,382,0,0,0,0,0,0,0,291
1785872730.41885,takeoff,0.0,0.0,0.0611054833047092,-0.0006924907211214304,0.0002082514256471768,0.00010921050852630287,-0.006818791385740042,0.0024064809549599886,3.5366568565368652,123,0,0,0,0,0,5905,0,0.36554956436157227,0.30715107917785645,0.3305094242095947,0.356290340423584,1,0,15,124,-1,29,0,0,-0.0007627957966178656,0.0002351412404095754,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,0.30715107917785645,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-10,0.0,0.0,0,0,0,385,0,0,0,0,0,0,0,291
1785872730.4406059,takeoff,0.0,0.0,0.06327862080652268,-0.0008126844186335802,0.0006712647154927254,0.00014582046424038708,-0.007766067050397396,0.006311439443379641,3.605278730392456,125,0,0,0,0,0,5905,0,0.36554956436157227,0.30715107917785645,0.3305094242095947,0.356290340423584,1,0,15,124,-1,29,0,0,-0.0007627957966178656,0.0002351412404095754,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,0.30715107917785645,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-10,0.0,0.0,0,0,0,385,0,0,0,0,0,0,0,291
1785872730.46125,takeoff,0.0,0.0,0.06534620000747964,-0.0008126844186335802,0.0006712647154927254,0.00014582046424038708,-0.007766067050397396,0.006311439443379641,3.605278730392456,125,0,0,0,0,0,6001,0,0.36260414123535156,0.3075714111328125,0.32808947563171387,0.356395959854126,1,0,15,125,-1,12,0,0,-0.0009139379253610969,0.0004985142149962485,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,0.3075714111328125,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-10,0.0,0.0,0,0,0,387,0,0,0,0,0,0,0,291
1785872730.486312,takeoff,0.0,0.0,0.06785264579812064,-0.000711666012648493,-0.00010161606769543141,0.0001977224601432681,-0.007656820584088564,0.0027025442104786634,3.6158359050750732,125,0,0,0,0,0,6001,0,0.36260414123535156,0.3075714111328125,0.32808947563171387,0.356395959854126,1,0,15,125,-1,12,0,0,-0.0009139379253610969,0.0004985142149962485,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,0.3075714111328125,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-10,0.0,0.0,0,0,0,387,0,0,0,0,0,0,0,291
1785872730.511426,takeoff,0.0,0.0,0.07035893750144169,-0.000711666012648493,-0.00010161606769543141,0.0001977224601432681,-0.007656820584088564,0.0027025442104786634,3.6158359050750732,125,0,0,0,0,0,6001,0,0.36597132682800293,0.3084132671356201,0.3289315700531006,0.35744786262512207,1,0,15,126,-1,15,0,0,-0.0007908634142950177,-7.276829273905605e-05,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,0.3084132671356201,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-10,0.0,0.0,0,0,0,390,0,0,0,0,0,0,0,291
