t,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,motor_0_thrust_n,motor_1_thrust_n,motor_2_thrust_n,motor_3_thrust_n
0.000000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999999920850506,-0.0,-0.00012581692504511595,0.0,0.0,0.03805521587471716,0.0,0.11036057711105758,0.1103644298770514,0.1103644298770514,0.11036057711105757
0.020000000,2.529378304e-07,0.0,1.1,2.5293783039999998e-05,0.0,0.0,0.9999999675549713,0.0,0.00025473526735618463,0.0,0.0,0.047145917811789936,0.0,0.11021045810182904,0.11051457054389009,0.11051457054389009,0.11021045810182901
0.040000000,2.5050382336e-06,0.0,1.1,0.00019991625728,0.0,0.0,0.9999996661725176,0.0,0.0008171014952438784,0.0,0.0,0.07396311058261187,0.0,0.11010277969561262,0.11062251504101604,0.11062251504101604,0.11010277969561261
0.060000000,1.11697575936e-05,0.0,1.1,0.00066655567872,0.0,0.0,0.9999984966256467,0.0,0.0017339972452710196,0.0,0.0,0.10851335786861276,0.0,0.1100781361708426,0.11064819116535819,0.11064819116535819,0.1100781361708426
0.080000000,3.34429487104e-05,0.0,1.1,0.00156076343296,0.0,0.0,0.9999955378118571,0.0,0.002987366126674987,0.0,0.0,0.14127201311236673,0.0,0.11009450091599671,0.11063443881144402,0.11063443881144402,0.11009450091599671
0.100000000,7.916130304e-05,0.0,1.1,0.0030110720000000014,0.0,0.0,0.9999896057610578,0.0,0.00455942648195038,0.0,0.0,0.17226620193879646,0.0,0.1101119539548559,0.11062222345257855,0.11062222345257855,0.11011195395485589
0.120000000,0.00016066315223040001,0.0,1.1,0.00513911291904,0.0,0.0,0.9999793102465276,0.0,0.0064326572175784965,0.0,0.0,0.2015217788657686,0.0,0.11013111992712342,0.11061214837909901,0.11061214837909907,0.11013111992712338
0.140000000,0.00029265162895360003,0.0,1.1,0.008059734753280003,0.0,0.0,0.999963107130925,0.0,0.008589783295658595,0.0,0.0,0.22906334870457257,0.0,0.11015269117849032,0.11060488574210124,0.1106048857421013,0.11015269117849028
0.160000000,0.0004920601870336001,0.0,1.1,0.01188112105472,0.0,0.0,0.9999393466831767,0.0,0.011013762064880667,0.0,0.0,0.2549143815083267,0.0,0.11017740599253385,0.11060115619137455,0.1106011561913746,0.11017740599253384
0.180000000,0.0007779204808704,0.0,1.1,0.016704908328959996,0.0,0.0,0.9999063180694602,0.0,0.013687771358971996,0.0,0.0,0.2790973999893432,0.0,0.11020602877606413,0.11060171012921925,0.11060171012921925,0.11020602877606411
0.200000000,0.0011712326041600002,0.0,1.1,0.022626304000000003,0.0,0.0,0.9998622901853601,0.0,0.01659520006769662,0.0,0.0,0.3016342206266406,0.0,0.11023933210277664,0.11060731052183376,0.11060731052183376,0.11023933210277664
0.220000000,0.0016948376879104001,0.0,1.1,0.029734204375039996,0.0,0.0,0.9998055489602741,0.0,0.019719641686527196,0.0,0.0,0.3225462317330506,0.0,0.1102780805286111,0.11061871721461303,0.11061871721461307,0.11027808052861109
0.240000000,0.0023732928577536,0.0,1.1,0.03811131260928,0.0,0.0,0.9997344312320133,0.0,0.023044891173594182,0.0,0.0,0.3418546935928446,0.0,0.11032301609989693,0.11063667270227616,0.11063667270227616,0.11032301609989696
0.260000000,0.0032327485505536002,0.0,1.1,0.04783425667072002,0.0,0.0,0.9996473552613162,0.0,0.026554945284372165,0.0,0.0,0.35958104746218067,0.0,0.11037484548188958,0.11066188930891946,0.11066188930891946,0.11037484548188954
