t,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz
0.000000000,0.0,0.0,1.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0015007702265463804
0.020000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999999999700722,0.0,0.0,7.736643148285725e-06,0.0,0.0,0.0030480988562189616
0.040000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999999981418187,0.0,0.0,6.0961977086619765e-05,0.0,0.0,0.009744639216794623
0.060000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999999794706577,0.0,0.0,0.00020262942609763907,0.0,0.0,0.02060080533035586
0.080000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999998881458683,0.0,0.0,0.0004729780660966454,0.0,0.0,0.03534799102502072
0.100000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999995863237285,0.0,0.0,0.0009095891225595035,0.0,0.0,0.05372324499568372
0.120000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999988027103451,0.0,0.0,0.0015474423660659631,0.0,0.0,0.07546927080401598
0.140000000,0.0,0.0,1.1,0.0,0.0,0.0,0.999997074282214,0.0,0.0,0.0024189723049854632,0.0,0.0,0.10033442687846486
0.160000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999936840812135,0.0,0.0,0.003554124038675969,0.0,0.0,0.12807272651425416
0.180000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999875976881564,0.0,0.0,0.004980408604721055,0.0,0.0,0.15844383787338454
0.200000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999774006649645,0.0,0.0,0.006722957633433677,0.0,0.0,0.19121308398463246
0.220000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999612389597119,0.0,0.0,0.008804577114089525,0.0,0.0,0.22615144274355153
0.240000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999367639908721,0.0,0.0,0.011245800081051551,0.0,0.0,0.263035546912472
0.260000000,0.0,0.0,1.1,0.0,0.0,0.0,0.999901083866706,0.0,0.0,0.014064938044180334,0.0,0.0,0.30164768412049897
0.280000000,0.0,0.0,1.1,0.0,0.0,0.0,0.999850721952328,0.0,0.0,0.017278131016068083,0.0,0.0,0.34177579686351517
0.300000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9997815837700177,0.0,0.0,0.020899396027517708,0.0,0.0,0.3832134825041815
0.320000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9996889330071117,0.0,0.0,0.024940674070732458,0.0,0.0,0.42575999327193176
0.340000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9995673772095759,0.0,0.0,0.029411875465013292,0.0,0.0,0.469220236262978
0.360000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9994108635573045,0.0,0.0,0.034320923700316794,0.0,0.0,0.5134047734403105
0.380000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9992126849484869,0.0,0.0,0.03967379787764083,0.0,0.0,0.5581298216336926
0.400000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9989654964641737,0.0,0.0,0.045474573929691384,0.0,0.0,0.6032172525396652
0.420000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9986613421396356,0.0,0.0,0.051725464868492214,0.0,0.0,0.6484945927215484
0.440000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9982916918354655,0.0,0.0,0.05842686036647824,0.0,0.0,0.6937950236094368
