t,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz
0.000000000,0.0,0.0,1.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.002251155339819571
0.020000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999999999326624,0.0,0.0,1.1604964722283876e-05,0.0,0.0,0.004572148284328443
0.040000000,0.0,0.0,1.1,0.0,0.0,0.0,0.999999995819092,0.0,0.0,9.144296555913064e-05,0.0,0.0,0.014616958825191931
0.060000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999999538089799,0.0,0.0,0.00030394413654655304,0.0,0.0,0.03090120799553379
0.080000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999997483282094,0.0,0.0,0.0007094670660796231,0.0,0.0,0.05302198653753108
0.100000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999990692284694,0.0,0.0,0.00136438344866709,0.0,0.0,0.08058486749352559
0.120000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999973060989484,0.0,0.0,0.0023211623911382415,0.0,0.0,0.113203906206024
0.140000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999934171389938,0.0,0.0,0.003628454034206995,0.0,0.0,0.1505016403176973
0.160000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999857892014291,0.0,0.0,0.005331172028274206,0.0,0.0,0.19210908977138122
0.180000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999720948704538,0.0,0.0,0.007470574301634902,0.0,0.0,0.23766575681007676
0.200000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999491517355755,0.0,0.0,0.010084341490792468,0.0,0.0,0.28681962597694866
0.220000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999127883636135,0.0,0.0,0.01320665237308229,0.0,0.0,0.33922716411532733
0.240000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9998577208539101,0.0,0.0,0.016868255654460814,0.0,0.0,0.39455332036870805
0.260000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9997774432865796,0.0,0.0,0.021096537520414193,0.0,0.0,0.45247152618074854
0.280000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9996641348385148,0.0,0.0,0.025915584453447087,0.0,0.0,0.5126636952952729
0.300000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9995085858451329,0.0,0.0,0.03134624095266415,0.0,0.0,0.5748202237562724
0.320000000,0.0,0.0,1.1,0.0,0.0,0.0,0.999300144625151,0.0,0.0,0.03740616195431236,0.0,0.0,0.6386399899078975
0.340000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9990266864583862,0.0,0.0,0.0441098599405767,0.0,0.0,0.7038303543944666
0.360000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9986746057096885,0.0,0.0,0.05146874693052347,0.0,0.0,0.7701071601604659
0.380000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9982288317225039,0.0,0.0,0.059491171764599435,0.0,0.0,0.8371947324505385
0.400000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9976728687600606,0.0,0.0,0.06818245331513723,0.0,0.0,0.904825878809497
