t,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,motor_0_thrust_n,motor_1_thrust_n,motor_2_thrust_n,motor_3_thrust_n
0.000000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999999309065845,-0.0,-0.0003717348872688035,0.0,0.0,0.11390809125631286,0.0,0.11034821274115814,0.11037684826143324,0.11037684826143322,0.11034821274115814
0.020000000,7.761920000000002e-07,0.0,1.1,7.761920000000002e-05,0.0,0.0,0.9999997055893037,0.0,0.0007673469267391251,0.0,0.0,0.1391670597989677,0.0,0.10994909938588954,0.11077616054958209,0.11077616054958209,0.10994909938588952
0.040000000,7.5745280000000025e-06,0.0,1.1,0.0006022144000000002,0.0,0.0,0.9999970920694127,0.0,0.0024116079114818076,0.0,0.0,0.21156284349724344,0.0,0.1096860485337729,0.11104151890427347,0.11104151890427352,0.10968604853377285
0.060000000,3.3299328e-05,0.0,1.1,0.0019702655999999995,0.0,0.0,0.9999875069331677,0.0,0.00499859756211151,0.0,0.0,0.2992134130942693,0.0,0.1096806065709892,0.11105542404003822,0.11105542404003822,0.10968060657098917
0.080000000,9.8254592e-05,0.0,1.1,0.004525260800000001,0.0,0.0,0.9999647545026771,0.0,0.008395817554045852,0.0,0.0,0.37389359388222965,0.0,0.1097981791065543,0.11095794298221974,0.11095794298221974,0.10979817910655428
0.100000000,0.00022910720000000003,0.0,1.1,0.008560000000000002,0.0,0.0,0.9999221687137679,0.0,0.012476238004902745,0.0,0.0,0.4361518390632067,0.0,0.10991987547983911,0.11087386048700151,0.11087386048700151,0.10991987547983913
0.120000000,0.000457896192,0.0,1.1,0.014318899199999997,0.0,0.0,0.9998534723856304,0.0,0.017118228833544122,0.0,0.0,0.486534803028204,0.0,0.11004845722683303,0.11080597838381846,0.1108059783838185,0.11004845722683301
0.140000000,0.000821088128,0.0,1.1,0.022000294400000005,0.0,0.0,0.9997534255535028,0.0,0.02220558700050304,0.0,0.0,0.5255956966038027,0.0,0.11018617122666406,0.110756717389013,0.110756717389013,0.11018617122666402
0.160000000,0.0013586785280000004,0.0,1.1,0.03175874560000001,0.0,0.0,0.9996182834233917,0.0,0.027627657259928013,0.0,0.0,0.5539016999061204,0.0,0.11033456347802477,0.11072790493567415,0.11072790493567415,0.11033456347802477
0.180000000,0.0021133393920000007,0.0,1.1,0.0437073408,0.0,0.0,0.9994460831252111,0.0,0.03327952712515248,0.0,0.0,0.5720392539597561,0.0,0.1104943739919955,0.110720629152696,0.110720629152696,0.11049437399199548
