t,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz
0.000000000,0.0,0.0,1.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0028347882056987185
0.020000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999999998932205,0.0,0.0,1.46136592797209e-05,0.0,0.0,0.005757520061746927
0.040000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999999933701925,0.0,0.0,0.00011515040098046356,0.0,0.0,0.018406540742834286
0.060000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999999267533346,0.0,0.0,0.00038274446479200796,0.0,0.0,0.03891263229067218
0.080000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999996009155243,0.0,0.0,0.0008934029282006169,0.0,0.0,0.06676842749170582
0.100000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999985240441815,0.0,0.0,0.0017181121786846551,0.0,0.0,0.1014772405474026
0.120000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999957281909511,0.0,0.0,0.002922943695903546,0.0,0.0,0.14255306707425244
0.140000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999895613409701,0.0,0.0,0.004569158466760611,0.0,0.0,0.189520584103767
0.160000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999774654864774,0.0,0.0,0.00671330911256557,0.0,0.0,0.2419151500824801
0.180000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999557500111411,0.0,0.0,0.009407338606440118,0.0,0.0,0.2992828048719485
0.200000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9999193685845132,0.0,0.0,0.012698674322473959,0.0,0.0,0.3611802697487502
0.220000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9998617067307027,0.0,0.0,0.016630316099409872,0.0,0.0,0.42717494740448614
0.240000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9997743862711431,0.0,0.0,0.02124091702726215,0.0,0.0,0.4968449219457804
0.260000000,0.0,0.0,1.1,0.0,0.0,0.0,0.9996470919467544,0.0,0.0,0.026564855775951243,0.0,0.0,0.5697789588942761
