cmd_x,cmd_y,cmd_yaw_deg,cmd_z,gate8.stackFree,host_time,mpcDiag.outX,mpcDiag.outY,mpcDiag.outZ,mpcDiag.yawCmd,obs.iter,obs.mpcUs,percept.ageMs,percept.applied,percept.corridor,percept.ctrDanger,percept.hold,percept.holdAge,percept.maxDanger,percept.minTtc,percept.nCstr,percept.sample,percept.side,percept.valid,perceptGridA.r0,perceptGridA.r1,perceptGridA.r2,perceptGridA.r3,perceptGridA.r4,perceptGridB.r5,perceptGridB.r6,perceptGridB.r7,perceptGridB.r8,perceptGridB.r9,perceptMap.crcErr,perceptMap.invalid,perceptMap.rxOk,perceptMass.cells,perceptMass.centerQ,perceptMass.cluster,perceptMass.detected,perceptMass.maxQ,perceptPath.hit,perceptPath.knot,perceptPath.q,perceptPath.safeL,perceptPath.safeR,perceptPath.u,perceptPath.v,perceptPlane.ax,perceptPlane.ay,perceptPlane.az,perceptPlane.b,perceptPlane.lineU,perceptPlane.safeU,perceptVio.plan,perceptVio.state,phase,pm.vbat,stateEstimate.vx,stateEstimate.vy,stateEstimate.x,stateEstimate.y,stateEstimate.yaw,stateEstimate.z
0.0,0.0,0.0,0.05,0,1785358372.793673,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.9800586700439453,-0.002312116092070937,-0.0017325914232060313,-0.00023320017498917878,-0.0002600110019557178,0.03146623447537422,0.0132322171702981
0.0,0.0,0.0,0.05454545454545455,0,1785358372.8150558,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.9800586700439453,-0.002312116092070937,-0.0017325914232060313,-0.00023320017498917878,-0.0002600110019557178,0.03146623447537422,0.0132322171702981
0.0,0.0,0.0,0.0590909090909091,0,1785358372.8352041,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.9800586700439453,-0.0042768255807459354,0.004803299438208342,-0.0005438303924165666,0.000931688817217946,0.033486682921648026,0.013435655273497105
0.0,0.0,0.0,0.06363636363636364,0,1785358372.855989,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.9800586700439453,-0.0042768255807459354,0.004803299438208342,-0.0005438303924165666,0.000931688817217946,0.033486682921648026,0.013435655273497105
0.0,0.0,0.0,0.06818181818181819,0,1785358372.881067,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.7266862392425537,-0.006512760650366545,0.003618006594479084,-0.00043444879702292383,0.0008072621421888471,0.023878544569015503,0.013406616635620594
0.0,0.0,0.0,0.07272727272727272,0,1785358372.9059782,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.7266862392425537,-0.006512760650366545,0.003618006594479084,-0.00043444879702292383,0.0008072621421888471,0.023878544569015503,0.013406616635620594
0.0,0.0,0.0,0.07727272727272727,0,1785358372.9293592,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.7266862392425537,-0.009944413788616657,0.0002169622021028772,-0.0005519786500371993,0.0001225225132657215,0.05563269555568695,0.013177424669265747
0.0,0.0,0.0,0.08181818181818182,0,1785358372.9508102,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.7266862392425537,-0.009944413788616657,0.0002169622021028772,-0.0005519786500371993,0.0001225225132657215,0.05563269555568695,0.013177424669265747
0.0,0.0,0.0,0.08636363636363636,0,1785358372.973471,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.7847506999969482,-0.014803123660385609,-0.005545377265661955,-0.001140287145972252,-0.0010641755070537329,-0.04387931525707245,0.013566579669713974
0.0,0.0,0.0,0.09090909090909091,0,1785358372.995776,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.7847506999969482,-0.014803123660385609,-0.005545377265661955,-0.001140287145972252,-0.0010641755070537329,-0.04387931525707245,0.013566579669713974
