cmd_x,cmd_y,cmd_z,gate8.stackFree,host_time,mpcDiag.outX,mpcDiag.outY,mpcDiag.outZ,obs.iter,obs.mpcUs,percept.ageMs,percept.applied,percept.corridor,percept.ctrDanger,percept.maxDanger,percept.minTtc,percept.nCstr,percept.sample,percept.side,percept.valid,perceptGridA.r0,perceptGridA.r1,perceptGridA.r2,perceptGridA.r3,perceptGridA.r4,perceptGridB.r5,perceptGridB.r6,perceptGridB.r7,perceptGridB.r8,perceptGridB.r9,perceptMap.crcErr,perceptMap.invalid,perceptMap.rxOk,perceptPlane.ax,perceptPlane.ay,perceptPlane.az,perceptPlane.b,phase,pm.vbat,stateEstimate.vx,stateEstimate.vy,stateEstimate.x,stateEstimate.y,stateEstimate.yaw,stateEstimate.z
0.0,0.0,0.05,0,1785341663.964279,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,takeoff,3.6263930797576904,-0.007491042371839285,0.014047033153474331,-0.001323403907008469,0.004128582775592804,0.010780374519526958,0.013178474269807339
0.0,0.0,0.05454545454545455,0,1785341663.985022,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,takeoff,3.6263930797576904,-0.007491042371839285,0.014047033153474331,-0.001323403907008469,0.004128582775592804,0.010780374519526958,0.013178474269807339
0.0,0.0,0.0590909090909091,0,1785341664.0059478,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,takeoff,3.6263930797576904,-0.007584141101688147,0.011211961507797241,-0.0014053643681108952,0.0039880769327282906,0.010437129996716976,0.013041784055531025
0.0,0.0,0.06363636363636364,0,1785341664.03105,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,takeoff,3.6263930797576904,-0.007584141101688147,0.011211961507797241,-0.0014053643681108952,0.0039880769327282906,0.010437129996716976,0.013041784055531025
0.0,0.0,0.06818181818181819,0,1785341664.0550148,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,takeoff,3.6263930797576904,-0.007366904988884926,0.003943858202546835,-0.0013254983350634575,0.0037528658285737038,0.005888134241104126,0.012295982800424099
0.0,0.0,0.07272727272727272,0,1785341664.079912,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,takeoff,3.6263930797576904,-0.007366904988884926,0.003943858202546835,-0.0013254983350634575,0.0037528658285737038,0.005888134241104126,0.012295982800424099
0.0,0.0,0.07727272727272727,0,1785341664.103934,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,takeoff,3.4574780464172363,-0.009264035150408745,-0.0009093114640563726,-0.0015157434390857816,0.00392122333869338,0.0054526375606656075,0.01128207053989172
0.0,0.0,0.08181818181818182,0,1785341664.129003,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,takeoff,3.4574780464172363,-0.009264035150408745,-0.0009093114640563726,-0.0015157434390857816,0.00392122333869338,0.0054526375606656075,0.01128207053989172
0.0,0.0,0.08636363636363636,0,1785341664.1491919,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,takeoff,3.4574780464172363,-0.009233363904058933,-0.004313196986913681,-0.0013991531450301409,0.004202580079436302,0.005073936656117439,0.01136911939829588
0.0,0.0,0.09090909090909091,0,1785341664.171103,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,takeoff,3.4574780464172363,-0.009233363904058933,-0.004313196986913681,-0.0013991531450301409,0.004202580079436302,0.005073936656117439,0.01136911939829588
