cmd_x,cmd_y,cmd_yaw_deg,cmd_z,gate8.stackFree,host_time,mpcDiag.outX,mpcDiag.outY,mpcDiag.outZ,mpcDiag.yawCmd,obs.iter,obs.mpcUs,percept.ageMs,percept.applied,percept.corridor,percept.ctrDanger,percept.maxDanger,percept.minTtc,percept.nCstr,percept.sample,percept.side,percept.valid,perceptGridA.r0,perceptGridA.r1,perceptGridA.r2,perceptGridA.r3,perceptGridA.r4,perceptGridB.r5,perceptGridB.r6,perceptGridB.r7,perceptGridB.r8,perceptGridB.r9,perceptMap.crcErr,perceptMap.invalid,perceptMap.rxOk,perceptPlane.ax,perceptPlane.ay,perceptPlane.az,perceptPlane.b,perceptPlane.lineU,perceptPlane.safeU,phase,pm.vbat,stateEstimate.vx,stateEstimate.vy,stateEstimate.x,stateEstimate.y,stateEstimate.yaw,stateEstimate.z
0.0,0.0,0.0,0.05,0,1785345417.9260328,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.605278730392456,0.00117325852625072,0.004084055311977863,0.0017624199390411377,0.00019961356883868575,0.033034548163414,0.01071679126471281
0.0,0.0,0.0,0.05454545454545455,0,1785345417.9493198,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.6105573177337646,-0.004902238491922617,0.00437961844727397,0.0006865474861115217,0.00023954185598995537,0.033341675996780396,0.010525142773985863
0.0,0.0,0.0,0.0590909090909091,0,1785345417.970332,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.6105573177337646,-0.004902238491922617,0.00437961844727397,0.0006865474861115217,0.00023954185598995537,0.033341675996780396,0.010525142773985863
0.0,0.0,0.0,0.06363636363636364,0,1785345417.9946449,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.6105573177337646,-0.005172016564756632,-0.00024026639584917575,0.0008029715390875936,-8.352072654815856e-06,0.027736496180295944,0.010625937953591347
0.0,0.0,0.0,0.06818181818181819,0,1785345418.015174,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.6105573177337646,-0.005172016564756632,-0.00024026639584917575,0.0008029715390875936,-8.352072654815856e-06,0.027736496180295944,0.010625937953591347
0.0,0.0,0.0,0.07272727272727272,0,1785345418.0366569,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.446920871734619,-0.015900790691375732,-0.0016871087718755007,-0.0010415997821837664,0.0008707249071449041,0.026732174679636955,0.010960962623357773
0.0,0.0,0.0,0.07727272727272727,0,1785345418.059906,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.446920871734619,-0.015900790691375732,-0.0016871087718755007,-0.0010415997821837664,0.0008707249071449041,0.026732174679636955,0.010960962623357773
0.0,0.0,0.0,0.08181818181818182,0,1785345418.082717,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.446920871734619,-0.011582497507333755,-0.009805271402001381,-0.00015571381663903594,1.804350540624e-05,0.031060706824064255,0.009551344439387321
0.0,0.0,0.0,0.08636363636363636,0,1785345418.104936,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.446920871734619,-0.011582497507333755,-0.009805271402001381,-0.00015571381663903594,1.804350540624e-05,0.031060706824064255,0.009551344439387321
0.0,0.0,0.0,0.09090909090909091,0,1785345418.130143,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.462756633758545,-0.011582497507333755,-0.009805271402001381,-0.00015571381663903594,1.804350540624e-05,0.031060706824064255,0.009551344439387321
