cmd_x,cmd_y,cmd_yaw_deg,cmd_z,gate8.stackFree,host_time,mpcDiag.outX,mpcDiag.outY,mpcDiag.outZ,mpcDiag.yawCmd,obs.iter,obs.mpcUs,percept.ageMs,percept.applied,percept.corridor,percept.ctrDanger,percept.hold,percept.holdAge,percept.maxDanger,percept.minTtc,percept.nCstr,percept.sample,percept.side,percept.valid,perceptGridA.r0,perceptGridA.r1,perceptGridA.r2,perceptGridA.r3,perceptGridA.r4,perceptGridB.r5,perceptGridB.r6,perceptGridB.r7,perceptGridB.r8,perceptGridB.r9,perceptMap.crcErr,perceptMap.invalid,perceptMap.rxOk,perceptMass.cells,perceptMass.centerQ,perceptMass.cluster,perceptMass.detected,perceptMass.maxQ,perceptPath.hit,perceptPath.knot,perceptPath.q,perceptPath.safeL,perceptPath.safeR,perceptPath.u,perceptPath.v,perceptPlane.ax,perceptPlane.ay,perceptPlane.az,perceptPlane.b,perceptPlane.lineU,perceptPlane.safeU,perceptVio.plan,perceptVio.state,phase,pm.vbat,stateEstimate.vx,stateEstimate.vy,stateEstimate.x,stateEstimate.y,stateEstimate.yaw,stateEstimate.z
0.0,0.0,0.0,0.05,0,1785358602.802691,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.932551383972168,0.00031770041096024215,-0.0024450758937746286,0.0011783811496570706,0.00020921377290505916,-0.016212619841098785,0.011809209361672401
0.0,0.0,0.0,0.05454545454545455,0,1785358602.823672,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.932551383972168,0.00031770041096024215,-0.0024450758937746286,0.0011783811496570706,0.00020921377290505916,-0.016212619841098785,0.011809209361672401
0.0,0.0,0.0,0.0590909090909091,0,1785358602.845002,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.932551383972168,-0.000584823137614876,-0.003914896864444017,0.0011272949632257223,-0.00011485712457215413,-0.012506881728768349,0.011033662594854832
0.0,0.0,0.0,0.06363636363636364,0,1785358602.8658502,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.932551383972168,-0.000584823137614876,-0.003914896864444017,0.0011272949632257223,-0.00011485712457215413,-0.012506881728768349,0.011033662594854832
0.0,0.0,0.0,0.06818181818181819,0,1785358602.89071,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.932551383972168,-0.000584823137614876,-0.003914896864444017,0.0011272949632257223,-0.00011485712457215413,-0.012506881728768349,0.011033662594854832
0.0,0.0,0.0,0.07272727272727272,0,1785358602.911968,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.6791789531707764,-0.0021413143258541822,-0.003546976251527667,0.0010324132163077593,-0.00028292887145653367,-0.0004722249286714941,0.010889691300690174
0.0,0.0,0.0,0.07727272727272727,0,1785358602.93571,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.6791789531707764,-0.0021413143258541822,-0.003546976251527667,0.0010324132163077593,-0.00028292887145653367,-0.0004722249286714941,0.010889691300690174
0.0,0.0,0.0,0.08181818181818182,0,1785358602.960779,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.6791789531707764,-0.003883077995851636,0.0038078457582741976,0.0009112414554692805,0.0009431928629055619,0.019769337028265,0.009978347457945347
0.0,0.0,0.0,0.08636363636363636,0,1785358602.9817111,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.6791789531707764,-0.003883077995851636,0.0038078457582741976,0.0009112414554692805,0.0009431928629055619,0.019769337028265,0.009978347457945347
0.0,0.0,0.0,0.09090909090909091,0,1785358603.003714,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.737243413925171,-0.002472094027325511,0.008471398614346981,0.0014782808721065521,0.001917591318488121,0.06231791526079178,0.009806782938539982
0.0,0.0,0.0,0.09545454545454546,0,1785358603.028667,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.737243413925171,-0.002472094027325511,0.008471398614346981,0.0014782808721065521,0.001917591318488121,0.06231791526079178,0.009806782938539982
0.0,0.0,0.0,0.1,0,1785358603.0522351,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.737243413925171,0.008362744003534317,0.008217995055019855,0.004241433925926685,0.002069061389192939,0.013627077452838421,0.010551229119300842
0.0,0.0,0.0,0.10454545454545455,0,1785358603.073979,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.737243413925171,0.008362744003534317,0.008217995055019855,0.004241433925926685,0.002069061389192939,0.013627077452838421,0.010551229119300842
0.0,0.0,0.0,0.1090909090909091,0,1785358603.0948029,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.7319648265838623,0.008469349704682827,0.00965680368244648,0.0051258644089102745,0.002617206424474716,0.09162407368421555,0.011282847262918949
0.0,0.0,0.0,0.11363636363636363,0,1785358603.1170712,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.7319648265838623,0.008469349704682827,0.00965680368244648,0.0051258644089102745,0.002617206424474716,0.09162407368421555,0.011282847262918949
0.0,0.0,0.0,0.1181818181818182,0,1785358603.1417332,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.7319648265838623,0.01590350642800331,-0.0027819371316581964,0.0075951796025037766,0.0006010181969031692,0.08640482276678085,0.010869001038372517
0.0,0.0,0.0,0.12272727272727274,0,1785358603.166324,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.7319648265838623,0.01590350642800331,-0.0027819371316581964,0.0075951796025037766,0.0006010181969031692,0.08640482276678085,0.010869001038372517
0.0,0.0,0.0,0.12727272727272726,0,1785358603.187704,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.7319648265838623,0.01590350642800331,-0.0027819371316581964,0.0075951796025037766,0.0006010181969031692,0.08640482276678085,0.010869001038372517
