cmd_x,cmd_y,cmd_yaw_deg,cmd_z,gate8.stackFree,host_time,mpcDiag.outX,mpcDiag.outY,mpcDiag.outZ,mpcDiag.yawCmd,obs.iter,obs.mpcUs,percept.ageMs,percept.applied,percept.corridor,percept.ctrDanger,percept.hold,percept.holdAge,percept.maxDanger,percept.minTtc,percept.nCstr,percept.sample,percept.side,percept.valid,perceptBox.cells,perceptBox.lineU,perceptBox.side,perceptBox.valid,perceptBox.x0,perceptBox.x1,perceptBox.y0,perceptBox.y1,perceptGridA.r0,perceptGridA.r1,perceptGridA.r2,perceptGridA.r3,perceptGridA.r4,perceptGridB.r5,perceptGridB.r6,perceptGridB.r7,perceptGridB.r8,perceptGridB.r9,perceptMap.crcErr,perceptMap.invalid,perceptMap.rxOk,perceptMass.cells,perceptMass.cluster,perceptMass.detected,perceptPlane.ax,perceptPlane.ay,perceptPlane.az,perceptPlane.b,perceptPlane.lineU,perceptPlane.safeU,phase,pm.vbat,stateEstimate.vx,stateEstimate.vy,stateEstimate.x,stateEstimate.y,stateEstimate.yaw,stateEstimate.z
0.0,0.0,0.0,0.05,0,1785353062.617732,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,4.069794654846191,-0.004238615278154612,-0.0032291936222463846,-0.0013274109223857522,0.00019355516997165978,0.012731997296214104,0.011814938858151436
0.0,0.0,0.0,0.05454545454545455,0,1785353062.6427178,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,4.069794654846191,-0.0072694262489676476,0.0014249980449676514,-0.0011203292524442077,0.00014793622540310025,0.014486006461083889,0.012297860346734524
0.0,0.0,0.0,0.0590909090909091,0,1785353062.664914,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,4.069794654846191,-0.0072694262489676476,0.0014249980449676514,-0.0011203292524442077,0.00014793622540310025,0.014486006461083889,0.012297860346734524
0.0,0.0,0.0,0.06363636363636364,0,1785353062.685639,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,4.069794654846191,-0.0016069236444309354,0.001395110972225666,-0.000370950874639675,7.265713065862656e-05,0.013113093562424183,0.013081632554531097
0.0,0.0,0.0,0.06818181818181819,0,1785353062.709942,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,4.069794654846191,-0.0016069236444309354,0.001395110972225666,-0.000370950874639675,7.265713065862656e-05,0.013113093562424183,0.013081632554531097
0.0,0.0,0.0,0.07272727272727272,0,1785353062.733705,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.906158447265625,-0.003437618725001812,0.00587480841204524,-0.002202356234192848,0.0005644658813253045,0.01024558674544096,0.01329113356769085
0.0,0.0,0.0,0.07727272727272727,0,1785353062.755467,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.906158447265625,-0.003437618725001812,0.00587480841204524,-0.002202356234192848,0.0005644658813253045,0.01024558674544096,0.01329113356769085
0.0,0.0,0.0,0.08181818181818182,0,1785353062.779655,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.906158447265625,-0.0035813436843454838,-0.007517197169363499,-0.002649647416546941,-0.002037986647337675,0.05240510776638985,0.01388725358992815
0.0,0.0,0.0,0.08636363636363636,0,1785353062.802593,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.906158447265625,-0.0035813436843454838,-0.007517197169363499,-0.002649647416546941,-0.002037986647337675,0.05240510776638985,0.01388725358992815
0.0,0.0,0.0,0.09090909090909091,0,1785353062.823371,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.921994209289551,0.012013805098831654,-0.026264430955052376,0.0001417425082763657,-0.005871686153113842,0.010044156573712826,0.013196826912462711
0.0,0.0,0.0,0.09545454545454546,0,1785353062.845438,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.921994209289551,0.012013805098831654,-0.026264430955052376,0.0001417425082763657,-0.005871686153113842,0.010044156573712826,0.013196826912462711
0.0,0.0,0.0,0.1,0,1785353062.87051,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.921994209289551,0.012013805098831654,-0.026264430955052376,0.0001417425082763657,-0.005871686153113842,0.010044156573712826,0.013196826912462711
