cmd_x,cmd_y,cmd_yaw_deg,cmd_z,host_time,mpcDiag.outVio,mpcDiag.outX,mpcDiag.outY,mpcDiag.outZ,mpcDiag.safe,mpcDiag.yawCmd,obs.duaRes,obs.iter,obs.mpcUs,obs.priRes,obs.rho,phase,pm.vbat,stateEstimate.vx,stateEstimate.vy,stateEstimate.x,stateEstimate.y,stateEstimate.yaw,stateEstimate.z,testPlane.applied,testPlane.ax,testPlane.ay,testPlane.az,testPlane.b,testPlane.nCstr,testPlane.valid,testPlane.worstK,testPlaneVio.output,testPlaneVio.plan,testPlaneVio.state
0.0,0.0,0.0,0.05,1785362569.767083,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,takeoff,4.1331377029418945,-0.004594034049659967,0.0066823349334299564,-0.00018701551016420126,0.0009452386293560266,0.0192622859030962,0.011854234151542187,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.05454545454545455,1785362569.788363,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,takeoff,4.1331377029418945,-0.0010953564196825027,-0.0035854496527463198,0.000606248271651566,-0.0008597841951996088,0.020312989130616188,0.011653612367808819,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0590909090909091,1785362569.8126678,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,takeoff,4.1331377029418945,-0.0010953564196825027,-0.0035854496527463198,0.000606248271651566,-0.0008597841951996088,0.020312989130616188,0.011653612367808819,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.06363636363636364,1785362569.8344152,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,takeoff,4.1331377029418945,-0.007489629089832306,0.003990106750279665,-0.00025107385590672493,0.0006731288158334792,0.02682577818632126,0.011105885729193687,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.06818181818181819,1785362569.858366,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,takeoff,4.1331377029418945,-0.007489629089832306,0.003990106750279665,-0.00025107385590672493,0.0006731288158334792,0.02682577818632126,0.011105885729193687,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.07272727272727272,1785362569.881361,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,takeoff,4.1331377029418945,-0.011413289234042168,0.002869798569008708,-0.000637412944342941,0.0006651778821833432,0.035563550889492035,0.011719854548573494,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.07727272727272727,1785362569.90537,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,takeoff,3.943108558654785,-0.011413289234042168,0.002869798569008708,-0.000637412944342941,0.0006651778821833432,0.035563550889492035,0.011719854548573494,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.08181818181818182,1785362569.929319,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,takeoff,3.943108558654785,-0.011413289234042168,0.002869798569008708,-0.000637412944342941,0.0006651778821833432,0.035563550889492035,0.011719854548573494,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.08636363636363636,1785362569.951581,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,takeoff,3.943108558654785,-0.02694002166390419,0.0035852028522640467,-0.0034864582121372223,0.0009172178106382489,0.10667920857667923,0.0133546506986022,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.09090909090909091,1785362569.9760902,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,takeoff,3.943108558654785,-0.02694002166390419,0.0035852028522640467,-0.0034864582121372223,0.0009172178106382489,0.10667920857667923,0.0133546506986022,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.09545454545454546,1785362569.996346,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,takeoff,3.943108558654785,-0.03138319402933121,-0.002991053741425276,-0.004968876484781504,-0.00027892112848348916,0.23218770325183868,0.013574707321822643,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.1,1785362570.019296,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,takeoff,3.943108558654785,-0.03138319402933121,-0.002991053741425276,-0.004968876484781504,-0.00027892112848348916,0.23218770325183868,0.013574707321822643,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.10454545454545455,1785362570.0414,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,takeoff,3.943108558654785,-0.044831741601228714,-0.0059598213993012905,-0.00846194475889206,-0.000675060844514519,0.31456440687179565,0.01325871329754591,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
