cmd_x,cmd_y,cmd_yaw_deg,cmd_z,host_time,mpcDiag.k1Vio,mpcDiag.outX,mpcDiag.outY,mpcDiag.outZ,mpcDiag.safe,mpcDiag.yawCmd,obs.iter,obs.mpcUs,phase,pm.vbat,stateEstimate.vx,stateEstimate.vy,stateEstimate.x,stateEstimate.y,stateEstimate.yaw,stateEstimate.z,testPlane.applied,testPlane.ax,testPlane.ay,testPlane.az,testPlane.b,testPlane.nCstr,testPlane.valid,testPlane.worstK,testPlaneVio.output,testPlaneVio.plan,testPlaneVio.state
0.0,0.0,0.0,0.05,1785360200.749561,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,4.0170087814331055,-0.002942968625575304,0.00594233488664031,0.00010930032294709235,0.0004996061325073242,-0.02038765139877796,0.014566401019692421,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.05454545454545455,1785360200.774025,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,4.0170087814331055,-0.004561193753033876,0.0034251075703650713,-0.00019584299298003316,3.347010351717472e-05,-0.018817776814103127,0.014991475269198418,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0590909090909091,1785360200.79916,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,4.0170087814331055,-0.004561193753033876,0.0034251075703650713,-0.00019584299298003316,3.347010351717472e-05,-0.018817776814103127,0.014991475269198418,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.06363636363636364,1785360200.824237,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,4.0170087814331055,-0.00864537712186575,0.0010892729042097926,-0.00032251287484541535,0.00025578064378350973,-0.019210323691368103,0.015777459368109703,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.06818181818181819,1785360200.8474371,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,4.0170087814331055,-0.00864537712186575,0.0010892729042097926,-0.00032251287484541535,0.00025578064378350973,-0.019210323691368103,0.015777459368109703,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.07272727272727272,1785360200.872055,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.8850440979003906,-0.006195116322487593,-0.011636157520115376,0.0009231972508132458,-0.0019631145987659693,-0.021025922149419785,0.013661024160683155,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.07727272727272727,1785360200.894422,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.8850440979003906,-0.006195116322487593,-0.011636157520115376,0.0009231972508132458,-0.0019631145987659693,-0.021025922149419785,0.013661024160683155,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.08181818181818182,1785360200.919481,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.8850440979003906,-0.01734931766986847,-0.014062585309147835,-0.001020674710161984,-0.0020489664748311043,-0.11288903653621674,0.013114169239997864,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.08636363636363636,1785360200.942538,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.8850440979003906,-0.01734931766986847,-0.014062585309147835,-0.001020674710161984,-0.0020489664748311043,-0.11288903653621674,0.013114169239997864,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.09090909090909091,1785360200.967635,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.8850440979003906,-0.04621778801083565,-0.010446487925946712,-0.007521657273173332,-0.0009715714841149747,-0.1376599669456482,0.012955168262124062,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.09545454545454546,1785360200.988517,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.8850440979003906,-0.04621778801083565,-0.010446487925946712,-0.007521657273173332,-0.0009715714841149747,-0.1376599669456482,0.012955168262124062,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.1,1785360201.010318,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.8850440979003906,-0.04621778801083565,-0.010446487925946712,-0.007521657273173332,-0.0009715714841149747,-0.1376599669456482,0.012955168262124062,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
