cmd_x,cmd_y,cmd_yaw_deg,cmd_z,host_time,mpcDiag.outVio,mpcDiag.outX,mpcDiag.outY,mpcDiag.outZ,mpcDiag.safe,mpcDiag.yawCmd,obs.iter,obs.mpcUs,phase,pm.vbat,stateEstimate.vx,stateEstimate.vy,stateEstimate.x,stateEstimate.y,stateEstimate.yaw,stateEstimate.z,testPlane.applied,testPlane.ax,testPlane.ay,testPlane.az,testPlane.b,testPlane.nCstr,testPlane.valid,testPlane.worstK,testPlaneVio.output,testPlaneVio.plan,testPlaneVio.state
0.0,0.0,0.0,0.05,1785360777.437818,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.9114370346069336,-0.005169968120753765,0.007452009711414576,-0.00017826141265686601,0.0009075473644770682,0.010431267321109772,0.011331849731504917,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.05454545454545455,1785360777.462749,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.9114370346069336,-0.005169968120753765,0.007452009711414576,-0.00017826141265686601,0.0009075473644770682,0.010431267321109772,0.011331849731504917,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0590909090909091,1785360777.4831412,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.9114370346069336,-0.0038703486789017916,-0.0021584813948720694,0.0004088996211066842,-0.0005568425985984504,0.013740959577262402,0.012978182174265385,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.06363636363636364,1785360777.5044212,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.695014715194702,-0.0038703486789017916,-0.0021584813948720694,0.0004088996211066842,-0.0005568425985984504,0.013740959577262402,0.012978182174265385,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.06818181818181819,1785360777.526832,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.695014715194702,-0.0038703486789017916,-0.0021584813948720694,0.0004088996211066842,-0.0005568425985984504,0.013740959577262402,0.012978182174265385,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.07272727272727272,1785360777.551834,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.695014715194702,-0.007761018350720406,-0.0065710172057151794,0.0001188396054203622,-0.0008706895750947297,0.016689853742718697,0.012375976890325546,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.07727272727272727,1785360777.571977,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.695014715194702,-0.007761018350720406,-0.0065710172057151794,0.0001188396054203622,-0.0008706895750947297,0.016689853742718697,0.012375976890325546,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.08181818181818182,1785360777.5941,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.7847506999969482,-0.014738705940544605,-0.007605512160807848,-0.0007968935533426702,-0.0006718413205817342,0.0841703712940216,0.01178785227239132,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.08636363636363636,1785360777.617921,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.7847506999969482,-0.014738705940544605,-0.007605512160807848,-0.0007968935533426702,-0.0006718413205817342,0.0841703712940216,0.01178785227239132,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.09090909090909091,1785360777.642952,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.7847506999969482,-0.03611069917678833,-0.01790633611381054,-0.0050708232447505,-0.0025790815707296133,0.133014976978302,0.011350255459547043,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.09545454545454546,1785360777.664911,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.7847506999969482,-0.03611069917678833,-0.01790633611381054,-0.0050708232447505,-0.0025790815707296133,0.133014976978302,0.011350255459547043,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.1,1785360777.685044,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.7847506999969482,-0.052362553775310516,-0.032012443989515305,-0.009095517918467522,-0.0053925421088933945,0.17292188107967377,0.012739282101392746,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.10454545454545455,1785360777.707102,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.7847506999969482,-0.052362553775310516,-0.032012443989515305,-0.009095517918467522,-0.0053925421088933945,0.17292188107967377,0.012739282101392746,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.1090909090909091,1785360777.732167,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.7847506999969482,-0.08732704818248749,-0.029757730662822723,-0.017843743786215782,-0.006098836660385132,0.36723458766937256,0.012253341265022755,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.11363636363636363,1785360777.754029,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.7847506999969482,-0.08732704818248749,-0.029757730662822723,-0.017843743786215782,-0.006098836660385132,0.36723458766937256,0.012253341265022755,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.1181818181818182,1785360777.7748349,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.7847506999969482,-0.08732704818248749,-0.029757730662822723,-0.017843743786215782,-0.006098836660385132,0.36723458766937256,0.012253341265022755,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.12272727272727274,1785360777.7952268,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.774193525314331,-0.08706173300743103,-0.02488284558057785,-0.021287893876433372,-0.006636208854615688,0.5963881015777588,0.011563130654394627,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.12727272727272726,1785360777.81985,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.774193525314331,-0.08706173300743103,-0.02488284558057785,-0.021287893876433372,-0.006636208854615688,0.5963881015777588,0.011563130654394627,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.13181818181818183,1785360777.8440452,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.774193525314331,-0.08590175211429596,-0.08786588907241821,-0.02561812475323677,-0.02068232372403145,0.7180095911026001,0.010314129292964935,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.13636363636363635,1785360777.868865,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.774193525314331,-0.08590175211429596,-0.08786588907241821,-0.02561812475323677,-0.02068232372403145,0.7180095911026001,0.010314129292964935,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.14090909090909093,1785360777.8943071,0.0,0.0,0.0,0.0,0,0.0,0,0,takeoff,3.7689149379730225,-0.029950691387057304,-0.1428714394569397,-0.020908094942569733,-0.03607760742306709,0.8105288743972778,0.008964493870735168,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
