cmd_x,cmd_y,cmd_yaw_deg,cmd_z,host_time,mpcDiag.outVio,mpcDiag.outX,mpcDiag.outY,mpcDiag.outZ,mpcDiag.safe,mpcDiag.yawCmd,obs.ageMs,obs.dropWake,obs.duaRes,obs.iter,obs.mpcUs,obs.priRes,obs.rho,obs.stackFree,obs.staleWake,obs.taskUs,phase,pm.vbat,stateEstimate.vx,stateEstimate.vy,stateEstimate.x,stateEstimate.y,stateEstimate.yaw,stateEstimate.z,testPlane.applied,testPlane.ax,testPlane.ay,testPlane.az,testPlane.b,testPlane.nCstr,testPlane.valid,testPlane.worstK,testPlaneVio.output,testPlaneVio.plan,testPlaneVio.state
0.0,0.0,0.0,0.05,1785372546.085678,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.774193525314331,-0.05295227840542793,0.007289398927241564,-0.03402157500386238,0.026384292170405388,0.005857417359948158,0.003941371105611324,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.05454545454545455,1785372546.1071281,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.774193525314331,-0.04219409450888634,0.005110309924930334,-0.03390892222523689,0.026200583204627037,0.005635922309011221,0.0044924067333340645,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0590909090909091,1785372546.130463,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.7055718898773193,-0.04219409450888634,0.005110309924930334,-0.03390892222523689,0.026200583204627037,0.005635922309011221,0.0044924067333340645,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.06363636363636364,1785372546.15553,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.7055718898773193,-0.024352891370654106,-0.017793022096157074,-0.03222792223095894,0.021945593878626823,0.004897014703601599,0.0040795630775392056,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.06818181818181819,1785372546.178347,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.7055718898773193,-0.024352891370654106,-0.017793022096157074,-0.03222792223095894,0.021945593878626823,0.004897014703601599,0.0040795630775392056,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.07272727272727272,1785372546.2020328,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.7055718898773193,-0.024352891370654106,-0.017793022096157074,-0.03222792223095894,0.021945593878626823,0.004897014703601599,0.0040795630775392056,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.07727272727272727,1785372546.225462,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.6369502544403076,-0.022739216685295105,-0.01703600399196148,-0.03321893885731697,0.02132619544863701,-0.018921470269560814,0.003762424224987626,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.08181818181818182,1785372546.247474,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.6369502544403076,-0.022739216685295105,-0.01703600399196148,-0.03321893885731697,0.02132619544863701,-0.018921470269560814,0.003762424224987626,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.08636363636363636,1785372546.270483,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.6369502544403076,-0.010545838624238968,0.05055168271064758,-0.03180369362235069,0.034517981112003326,-0.015698663890361786,0.004243490286171436,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.09090909090909091,1785372546.295242,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.6369502544403076,-0.010545838624238968,0.05055168271064758,-0.03180369362235069,0.034517981112003326,-0.015698663890361786,0.004243490286171436,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.09545454545454546,1785372546.316443,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.642228841781616,-0.014364193193614483,0.010463077574968338,-0.033113282173871994,0.028940703719854355,0.02814810536801815,0.005086245946586132,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.1,1785372546.337607,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.642228841781616,-0.014364193193614483,0.010463077574968338,-0.033113282173871994,0.028940703719854355,0.02814810536801815,0.005086245946586132,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.10454545454545455,1785372546.3625321,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.642228841781616,-0.02181786485016346,0.017655573785305023,-0.03499305993318558,0.030867207795381546,0.06284850090742111,0.004845249932259321,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.1090909090909091,1785372546.3866172,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.642228841781616,-0.02181786485016346,0.017655573785305023,-0.03499305993318558,0.030867207795381546,0.06284850090742111,0.004845249932259321,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.11363636363636363,1785372546.411399,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.6369502544403076,-0.005496217869222164,0.04152889549732208,-0.03282143175601959,0.03693251311779022,0.18821947276592255,0.004044818226248026,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.1181818181818182,1785372546.4325361,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.6369502544403076,-0.005496217869222164,0.04152889549732208,-0.03282143175601959,0.03693251311779022,0.18821947276592255,0.004044818226248026,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.12272727272727274,1785372546.453426,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.6369502544403076,-0.005102324765175581,0.06131156161427498,-0.03314792364835739,0.043667908757925034,0.3820449411869049,0.002772605512291193,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.12727272727272726,1785372546.474486,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.6369502544403076,-0.005102324765175581,0.06131156161427498,-0.03314792364835739,0.043667908757925034,0.3820449411869049,0.002772605512291193,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.13181818181818183,1785372546.498007,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.6369502544403076,-0.005102324765175581,0.06131156161427498,-0.03314792364835739,0.043667908757925034,0.3820449411869049,0.002772605512291193,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.13636363636363635,1785372546.519947,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.6263930797576904,-0.0010942055378109217,0.025433333590626717,-0.032933663576841354,0.04164503887295723,0.7096502780914307,0.0026046265847980976,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.14090909090909093,1785372546.5438569,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.6263930797576904,-0.0010942055378109217,0.025433333590626717,-0.032933663576841354,0.04164503887295723,0.7096502780914307,0.0026046265847980976,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.14545454545454545,1785372546.5675561,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.6263930797576904,0.026597416028380394,-0.018074441701173782,-0.028910202905535698,0.03824056312441826,0.9426610469818115,0.0016253299545496702,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.15,1785372546.5917718,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.6263930797576904,0.026597416028380394,-0.018074441701173782,-0.028910202905535698,0.03824056312441826,0.9426610469818115,0.0016253299545496702,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.15454545454545454,1785372546.615364,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.621114492416382,0.05020147189497948,-0.05571579188108444,-0.026103336364030838,0.03524596244096756,1.0854982137680054,0.0007291685906238854,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.15909090909090912,1785372546.636628,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.621114492416382,0.05020147189497948,-0.05571579188108444,-0.026103336364030838,0.03524596244096756,1.0854982137680054,0.0007291685906238854,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.16363636363636364,1785372546.6572711,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.621114492416382,0.10423293709754944,-0.07813508808612823,-0.01606234721839428,0.03252260014414787,1.0463171005249023,0.0007946296827867627,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.1681818181818182,1785372546.678081,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.621114492416382,0.10423293709754944,-0.07813508808612823,-0.01606234721839428,0.03252260014414787,1.0463171005249023,0.0007946296827867627,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.17272727272727273,1785372546.703105,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,takeoff,3.621114492416382,0.14903311431407928,-0.09606774896383286,-0.004852317739278078,0.029128529131412506,1.0152846574783325,0.0010838400339707732,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
