cmd_x,cmd_y,cmd_yaw_deg,cmd_z,gate8.stackFree,host_time,mpcDiag.outX,mpcDiag.outY,mpcDiag.outZ,mpcDiag.yawCmd,obs.iter,obs.mpcUs,percept.ageMs,percept.applied,percept.corridor,percept.ctrDanger,percept.hold,percept.holdAge,percept.maxDanger,percept.minTtc,percept.nCstr,percept.sample,percept.side,percept.valid,perceptGridA.r0,perceptGridA.r1,perceptGridA.r2,perceptGridA.r3,perceptGridA.r4,perceptGridB.r5,perceptGridB.r6,perceptGridB.r7,perceptGridB.r8,perceptGridB.r9,perceptMap.crcErr,perceptMap.invalid,perceptMap.rxOk,perceptMass.cells,perceptMass.cluster,perceptMass.detected,perceptPath.hit,perceptPath.knot,perceptPath.q,perceptPath.safeL,perceptPath.safeR,perceptPath.u,perceptPath.v,perceptPlane.ax,perceptPlane.ay,perceptPlane.az,perceptPlane.b,perceptPlane.lineU,perceptPlane.safeU,perceptVio.plan,perceptVio.state,phase,pm.vbat,stateEstimate.vx,stateEstimate.vy,stateEstimate.x,stateEstimate.y,stateEstimate.yaw,stateEstimate.z
0.0,0.0,0.0,0.05,0,1785357771.9038248,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,4.043401718139648,0.0014913465129211545,-0.004589088726788759,0.0009024564642459154,-0.001083631650544703,-0.020791321992874146,0.012705777771770954
0.0,0.0,0.0,0.05454545454545455,0,1785357771.9281201,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,4.043401718139648,0.0014913465129211545,-0.004589088726788759,0.0009024564642459154,-0.001083631650544703,-0.020791321992874146,0.012705777771770954
0.0,0.0,0.0,0.0590909090909091,0,1785357771.952495,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,4.043401718139648,0.0004205615259706974,-0.005970690865069628,0.0008718141471035779,-0.0013604718260467052,-0.026051560416817665,0.013552716001868248
0.0,0.0,0.0,0.06363636363636364,0,1785357771.9743328,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,4.043401718139648,0.0004205615259706974,-0.005970690865069628,0.0008718141471035779,-0.0013604718260467052,-0.026051560416817665,0.013552716001868248
0.0,0.0,0.0,0.06818181818181819,0,1785357771.995759,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.8217010498046875,-0.014760538004338741,0.005811577662825584,-0.0010084124514833093,0.0004886536626145244,-0.028731893748044968,0.012939558364450932
0.0,0.0,0.0,0.07272727272727272,0,1785357772.015976,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.8217010498046875,-0.014760538004338741,0.005811577662825584,-0.0010084124514833093,0.0004886536626145244,-0.028731893748044968,0.012939558364450932
0.0,0.0,0.0,0.07727272727272727,0,1785357772.036997,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.8217010498046875,-0.014760538004338741,0.005811577662825584,-0.0010084124514833093,0.0004886536626145244,-0.028731893748044968,0.012939558364450932
0.0,0.0,0.0,0.08181818181818182,0,1785357772.05824,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.8217010498046875,-0.013659950345754623,0.003039336297661066,-0.000256535189691931,-0.00017622404266148806,-0.018142567947506905,0.01295867282897234
0.0,0.0,0.0,0.08636363636363636,0,1785357772.081242,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.8217010498046875,-0.013659950345754623,0.003039336297661066,-0.000256535189691931,-0.00017622404266148806,-0.018142567947506905,0.01295867282897234
0.0,0.0,0.0,0.09090909090909091,0,1785357772.1061811,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeoff,3.853372573852539,-0.024891478940844536,0.003196024103090167,-0.0019666296429932117,-0.0003654348838608712,-0.017536792904138565,0.011863797903060913
