host_time,leg,x,y,z,yaw_deg,obs_active,obs_apply,obs_count,obs_first_k,obs_a0,obs_a1,obs_a2,obs_b,obs_margin,obs_violation,obs_clearance,obs_mpc_us,obs_iter,vbat
1784908848.038692,takeoff,0.004269827622920275,-0.008622437715530396,0.014129036106169224,0.025918031111359596,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.9272727966308594
1784908848.061959,takeoff,0.004912558943033218,-0.00926668755710125,0.014085302129387856,0.025432119145989418,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.9272727966308594
1784908848.08226,takeoff,0.0041765193454921246,-0.009930720552802086,0.014058000408113003,0.0263212900608778,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.9272727966308594
1784908848.103489,takeoff,0.005007874220609665,-0.008443725295364857,0.014041859656572342,0.026470355689525604,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.9272727966308594
1784908848.128531,takeoff,0.00406055711209774,-0.009609862230718136,0.013220410794019699,0.020714087411761284,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.7425220012664795
1784908848.1487172,takeoff,0.004015997517853975,-0.007874098606407642,0.013100124895572662,0.022120043635368347,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.7425220012664795
1784908848.171791,takeoff,0.0039825476706027985,-0.006778239738196135,0.013778270222246647,0.0012009028578177094,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.7425220012664795
1784908848.192103,takeoff,0.003891243366524577,-0.010104110464453697,0.013766812160611153,-0.0016571563901379704,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.7425220012664795
1784908848.217174,takeoff,0.00271686096675694,-0.009404591284692287,0.013634621165692806,-0.04926593601703644,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.7425220012664795
1784908848.2408829,takeoff,0.002217441564425826,-0.006932886783033609,0.013017045333981514,-0.1968211531639099,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.7794721126556396
