host_time,phase,cmd_x,cmd_y,cmd_z,state_x,state_y,state_z,state_yaw,state_vx,state_vy,roll,pitch,vbat,track_rx,track_depth_count,track_support,track_sigma,track_baseline,map_peak,map_active,flow_cyl_valid,flow_cyl_conf,flow_cyl_wx,flow_cyl_wy,flow_cyl_var_x,flow_cyl_var_y,aggregate_displacement,yaw_explained_ratio,depth_disagreement,group_dispersion,group_score,reject_low_motion,reject_yaw,reject_depth_disagreement,reject_dispersion,reject_no_group,obs_source,obs_active,obs_apply,obs_count,obs_eff_cx,obs_eff_cy,obs_eff_rad,obs_flow_conf,obs_clearance,obs_frz_valid,obs_frz_cx,obs_frz_cy,obs_frz_conf
1784909053.86575,wait_flow,0.0,0.0,0.05,0.00011344327504048124,0.0011016058269888163,0.011447500437498093,0.015079847536981106,0.00010266202298225835,0.002328243339434266,-0.1974802017211914,0.48462143540382385,3.932551383972168,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.04800000041723251,0.04800000041723251,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5,0.15000000596046448,0.30000001192092896,0.0,-0.0284157395362854,0,0.0,0.0,0.0
1784909053.887858,wait_flow,0.0,0.0,0.05,0.00011344327504048124,0.0011016058269888163,0.011447500437498093,0.015079847536981106,0.00010266202298225835,0.002328243339434266,-0.1974802017211914,0.48462143540382385,3.932551383972168,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.058000002056360245,0.058000002056360245,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5,0.15000000596046448,0.30000001192092896,0.0,-0.0284157395362854,0,0.0,0.0,0.0
1784909053.912767,wait_flow,0.0,0.0,0.05,-0.00039310642750933766,0.0008681347244419158,0.012098350562155247,0.017799928784370422,-0.002459807088598609,0.00044286149204708636,-0.17698460817337036,0.5066577792167664,3.932551383972168,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.058000002056360245,0.058000002056360245,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5,0.15000000596046448,0.30000001192092896,0.0,-0.029297947883605957,0,0.0,0.0,0.0
1784909053.937721,wait_flow,0.0,0.0,0.05,-0.00039310642750933766,0.0008681347244419158,0.012098350562155247,0.017799928784370422,-0.002459807088598609,0.00044286149204708636,-0.17698460817337036,0.5066577792167664,3.932551383972168,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.058000002056360245,0.058000002056360245,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5,0.15000000596046448,0.30000001192092896,0.0,-0.029297947883605957,0,0.0,0.0,0.0
1784909053.959832,wait_flow,0.0,0.0,0.05,-0.0003623996744863689,0.00038404783117584884,0.01133024413138628,0.017138812690973282,-0.0022580327931791544,-0.0021029699128121138,-0.15821759402751923,0.502996563911438,3.932551383972168,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.058000002056360245,0.058000002056360245,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5,0.15000000596046448,0.30000001192092896,0.0,-0.029297947883605957,0,0.0,0.0,0.0
1784909053.98208,wait_flow,0.0,0.0,0.05,-0.0003623996744863689,0.00038404783117584884,0.01133024413138628,0.017138812690973282,-0.0022580327931791544,-0.0021029699128121138,-0.15821759402751923,0.502996563911438,3.932551383972168,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.06799999624490738,0.06799999624490738,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5,0.15000000596046448,0.30000001192092896,0.0,-0.027720630168914795,0,0.0,0.0,0.0
1784909054.0041542,wait_flow,0.0,0.0,0.05,0.0008978760452009737,0.0013868826208636165,0.011616929434239864,0.017027832567691803,-0.0022580327931791544,-0.0021029699128121138,-0.15821759402751923,0.502996563911438,3.932551383972168,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.06799999624490738,0.06799999624490738,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5,0.15000000596046448,0.30000001192092896,0.0,-0.027720630168914795,0,0.0,0.0,0.0
1784909054.029235,wait_flow,0.0,0.0,0.05,0.0008978760452009737,0.0013868826208636165,0.011616929434239864,0.017027832567691803,0.004108384717255831,0.0039017535746097565,-0.2078375518321991,0.44865497946739197,3.932551383972168,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.06799999624490738,0.06799999624490738,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5,0.15000000596046448,0.30000001192092896,0.0,-0.027720630168914795,0,0.0,0.0,0.0
1784909054.054284,wait_flow,0.0,0.0,0.05,0.0008978760452009737,0.0013868826208636165,0.011616929434239864,0.017027832567691803,-0.002016710350289941,-0.0019912677817046642,-0.16249586641788483,0.4989962577819824,3.932551383972168,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.06799999624490738,0.06799999624490738,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5,0.15000000596046448,0.30000001192092896,0.0,-0.027720630168914795,0,0.0,0.0,0.0
1784909054.0752242,wait_flow,0.0,0.0,0.05,0.0008978760452009737,0.0013868826208636165,0.011616929434239864,0.017027832567691803,-0.002016710350289941,-0.0019912677817046642,-0.16249586641788483,0.4989962577819824,3.932551383972168,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.07799997925758362,0.07799997925758362,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5,0.15000000596046448,0.30000001192092896,0.0,-0.027729809284210205,0,0.0,0.0,0.0
1784909054.095565,wait_flow,0.0,0.0,0.05,0.0008978760452009737,0.0013868826208636165,0.011616929434239864,0.017027832567691803,-0.002016710350289941,-0.0019912677817046642,-0.16249586641788483,0.4989962577819824,3.932551383972168,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.07799997925758362,0.07799997925758362,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5,0.15000000596046448,0.30000001192092896,0.0,-0.027729809284210205,0,0.0,0.0,0.0
1784909054.115681,wait_flow,0.0,0.0,0.05,0.0005602769088000059,0.0015190921258181334,0.01207673829048872,0.018488941714167595,0.0031934038270264864,0.003906631376594305,-0.2070757895708084,0.457456111907959,3.932551383972168,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.07799997925758362,0.07799997925758362,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5,0.15000000596046448,0.30000001192092896,0.0,-0.027978360652923584,0,0.0,0.0,0.0
1784909054.139263,wait_flow,0.0,0.0,0.05,0.0005602769088000059,0.0015190921258181334,0.01207673829048872,0.018488941714167595,0.0031934038270264864,0.003906631376594305,-0.2070757895708084,0.457456111907959,3.932551383972168,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.07799997925758362,0.07799997925758362,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5,0.15000000596046448,0.30000001192092896,0.0,-0.027978360652923584,0,0.0,0.0,0.0
1784909054.162003,wait_flow,0.0,0.0,0.05,-0.0003043572069145739,0.00106909463647753,0.010021434165537357,0.017942698672413826,-0.001653078361414373,0.0005380585789680481,-0.18568341434001923,0.49215763807296753,3.932551383972168,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.07799997925758362,0.07799997925758362,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5,0.15000000596046448,0.30000001192092896,0.0,-0.027978360652923584,0,0.0,0.0,0.0
1784909054.182295,wait_flow,0.0,0.0,0.05,-0.0003043572069145739,0.00106909463647753,0.010021434165537357,0.017942698672413826,-0.001653078361414373,0.0005380585789680481,-0.18568341434001923,0.49215763807296753,3.932551383972168,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.08799996227025986,0.08799996227025986,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5,0.15000000596046448,0.30000001192092896,0.0,-0.02798515558242798,0,0.0,0.0,0.0
