s up and running!
SYS: Build 2:de14ff9f08ae (2025.09.1 +2) MODIFIED
SYS: I am 0x373930393434471500370039 and I have 1024KB of flash!
CFGBLK: v1, verification [OK]
DECK_DISCOVERY: Backend found: onewire
DECK_DISCOVERY: Backend found: deckctrl
DECK_CORE: 1 deck(s) found
DECK_CORE: Calling INIT on driver bcFlow2 for deck 0
ZR2: Z-down sensor [OK]
PMW: Motion chip id: 0x49:0xB6
IMU: BMI088: Using I2C interface.
IMU: BMI088 Gyro connection [OK].
IMU: BMI088 Accel connection [OK]
IMU: BMP390 I2C connection [OK]
ESTIMATOR: Using Kalman (2) estimator
CONTROLLER: Using PID (1) controller
MTR-DRV: Using brushless motor driver
SYS: About to run tests in system.c.
SYS: NRF51 version: 2026.04 (C21B)
EEPROM: I2C connection [OK].
STORAGE: Storage check [OK].
IMU: BMI088 gyro self-test [OK]
DECK_CORE: Deck 0 test [OK].
SYS: Self test passed!
STAB: Wait for sensor calibration...
SYS: Free heap: 15048 bytes
MPCTASK: Waiting for activation ...
STAB: Starting stabilizer loop
STAB: WARNING: stabilizer loop rate is off (1004)
SUP: Ready to fly
MPCTASK: Benchmark mode 0, maneuver 4, max_iter 5, task_pri 0
MPCTASK: Reference altitude: 0.70 m; barrier skip when z>0.75 and vz>-0.20
MPCTASK: OOT takeoff: GATED cfclient trigger>=0.15m ramp=0.15m/s settle=+/-0.05m,vz<0.10m/s,1000ms timeout=12000ms
MPCTASK: Common baseline: mpc_hz=20 model_hz=20 rho=5 base_w=0 base_qz=1 Qz=100 R=4 bridge=x10 guards=z[ref,ref+0.20] xy=free cap=0.05
MPCTASK: MPC->PID: xyz=x10, z_guard=[ref,ref+0.20], yaw=raw_rz, output_hold=200ms, safety_hold=500ms
MPCTASK: Reference origin: xy=post_takeoff_settle z=0.70 m
MPCTASK: Fixed baseline: w=0 qz=1 adaptive_cache=off
MPCTASK: EXP every=2: m,s,tms,p3[mm],v3[mmps],att3[cdeg],ref3[mm],cmd3[mm],h/raw/grad/mar/thr[milli],act/ac/bind,wi/qi/cache/noa,pa/pf/du[milli],it,mpc/eval/total[us],bar/tanh/rl/cache/solve/step[cycles],overruns,post_active/post_infeasible_totals,wreq/w/qzreq/qz[milli],max_step_cycles
MPCTASK: Figure8: source=traj_fig8_12.h source_hz=100 samples=1205 laps=2 duration=24.07 s origin=post_takeoff_settle z_offset=0.09 m
CONTROLLER: Using OutOfTree (6) controller
MPCTASK: Trajectory origin: x=-0.03 y=-0.08
MPCTASK: OOT activated at z=0.01
MPCTASK: TAKEOFF START: trigger_z=0.15 start_z=0.01 target=0.70 hold=(-0.04,-0.11) ramp=0.15m/s
MPCTASK: OOT loop 1 done
MPCTASK: MPC task loop 1
MPCTASK: x0: poMPCTASK: OOT loop 2 done
MPCTASK: OOT loop 3 done
s=(-0.04,-0.11,0.01) vel=(0.0,-0.02,-0.0)
MPCTASK: ref: (-0.04,-0.11,0.01)
MPCTASK: MPC solve start
MPCTASK: MPC solve done, iter=5
MPCTASK: MPC time=27850 us
MPCTASK: MPC stack free=1143 words
MPCTASK: setpoint: x=-0.04 y=-0.11 z=0.07 preview_z=0.07
MPCTASK: MPC task loop 2
MPCTASK: MPC task loop 3
MPCTASK: TAKEOFF SETTLING: z=0.74 vz=0.09; hold for 1000ms
MPCTASK: TAKEOFF SETTLING: z=0.74 vz=0.08; hold for 1000ms
MPCTASK: TAKEOFF SETTLING: z=0.74 vz=-0.03; hold for 1000ms
MPCTASK: TAKEOFF SETTLING: z=0.74 vz=-0.04; hold for 1000ms
MPCTASK: TAKEOFF SETTLING: z=0.74 vz=-0.04; hold for 1000ms
MPCTASK: TAKEOFF COMPLETE: t=9778ms z=0.73 vz=-0.02; trajectory queued origin=(0.0,-0.08)
MPCTASK: TRAJ START: z=0.73 origin=(0.0,-0.08) EXP clock reset; Z metric begins at t+3s
MPCTASK: EXP,0,2,76,-11,-86,731,-118,0,-32,342,357,46,0,-82,700,-116,217,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26046,0,26099,0,0,0,0,4427689,4436979,0,0,0,0,0,1000,1000,4436979
MPCTASK: EXP,0,4,171,-34,-101,724,-170,-25,-39,-535,150,17,-10,-63,700,-92,274,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20623,0,20676,0,0,0,0,3505841,3514970,0,0,0,0,0,1000,1000,4436979
MPCTASK: EXP,0,6,273,-31,-110,724,-167,123,-6,-1348,131,-33,-44,3,700,-35,350,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22994,0,23055,0,0,0,0,3908599,3919468,0,0,0,0,0,1000,1000,4593089
MPCTASK: EXP,0,8,377,-61,-91,728,-187,376,5,-1606,-125,-155,-97,122,700,3,434,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24854,0,24910,0,0,0,0,4225125,4234676,0,0,0,0,0,1000,1000,4593089
MPCTASK: EXP,0,10,476,-84,-56,729,-140,620,-18,-1494,-459,-264,-152,281,700,59,497,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24012,0,24067,0,0,0,0,4081997,4091476,0,0,0,0,0,1000,1000,4593089
MPCTASK: EXP,0,12,577,-94,0,724,-26,829,-35,-1182,-771,-312,-190,461,700,124,547,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24999,0,25053,0,0,0,0,4249657,4258948,0,0,0,0,0,1000,1000,4593089
MPCTASK: EXP,0,14,671,-93,90,716,127,997,-46,-770,-921,-303,-198,640,700,186,599,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19048,0,19104,0,0,0,0,3238085,3247809,0,0,0,0,0,1000,1000,4593089
MPCTASK: EXP,0,16,777,-46,246,705,347,1167,-34,-226,-948,-244,-167,800,700,273,684,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23922,0,23976,0,0,0,0,4066620,4075913,0,0,0,0,0,1000,1000,4593089
MPCTASK: EXP,0,18,877,-15,332,705,485,1099,18,477,-723,-161,-98,929,699,296,645,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25016,0,25070,0,0,0,0,4252749,4261878,0,0,0,0,0,1000,1000,4593089
MPCTASK: EXP,0,20,979,67,408,713,629,939,39,905,-436,-29,2,1018,699,343,585,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26998,0,27054,0,0,0,0,4589517,4599256,0,0,0,0,0,1000,1000,4599256
MPCTASK: EXP,0,22,1073,122,482,724,645,751,28,1132,98,11,121,1064,699,309,528,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21136,0,21232,0,0,0,0,3592889,3609442,0,0,0,0,0,1000,1000,4599256
MPCTASK: EXP,0,24,1178,218,515,729,640,509,-11,1306,618,53,243,1066,699,296,426,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24919,0,24975,0,0,0,0,4236057,4245874,0,0,0,0,0,1000,1000,4599256
MPCTASK: EXP,0,26,1272,242,541,728,461,267,-49,1313,992,112,353,1027,699,197,326,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19588,0,19640,0,0,0,0,3329735,3338978,0,0,0,0,0,1000,1000,4599256
MPCTASK: EXP,0,28,1380,243,501,717,242,-50,-85,1278,1055,171,436,950,700,91,166,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27571,0,27625,0,0,0,0,4686982,4696281,0,0,0,0,0,1000,1000,4696281
MPCTASK: EXP,0,30,1473,236,485,704,23,-288,-77,1180,1121,172,480,842,700,-14,48,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21643,0,21697,0,0,0,0,3679266,3688565,0,0,0,0,0,1000,1000,4696281
