s up and running!
SYS: Build 2:de14ff9f08ae (2025.09.1 +2) MODIFIED
SYS: I am 0x373930393434471500370039 and I have 1024KB of flash!
CFGBLK: v1, verification [OK]
DECK_DISCOVERY: Backend found: onewire
DECK_DISCOVERY: Backend found: deckctrl
DECK_CORE: 1 deck(s) found
DECK_CORE: Calling INIT on driver bcFlow2 for deck 0
ZR2: Z-down sensor [OK]
PMW: Motion chip id: 0x49:0xB6
IMU: BMI088: Using I2C interface.
IMU: BMI088 Gyro connection [OK].
IMU: BMI088 Accel connection [OK]
IMU: BMP390 I2C connection [OK]
ESTIMATOR: Using Kalman (2) estimator
CONTROLLER: Using PID (1) controller
MTR-DRV: Using brushless motor driver
SYS: About to run tests in system.c.
SYS: NRF51 version: 2026.04 (C21B)
EEPROM: I2C connection [OK].
STORAGE: Storage check [OK].
IMU: BMI088 gyro self-test [OK]
DECK_CORE: Deck 0 test [OK].
SYS: Self test passed!
STAB: Wait for sensor calibration...
SYS: Free heap: 15048 bytes
MPCTASK: Waiting for activation ...
STAB: Starting stabilizer loop
STAB: WARNING: stabilizer loop rate is off (1004)
SUP: Ready to fly
MPCTASK: Benchmark mode 2, maneuver 4, max_iter 5, task_pri 0
MPCTASK: Reference altitude: 0.70 m; barrier skip when z>0.75 and vz>-0.20
MPCTASK: OOT takeoff: cfclient trigger>=0.15m ramp=0.15m/s figure8_start=3000ms_at_measured_z target=0.70m timeout=12000ms
MPCTASK: Common baseline: mpc_hz=20 model_hz=20 rho=5 base_w=0 base_qz=1 Qz=100 R=4 bridge=x10 guards=z[ref,ref+0.20] xy=free cap=0.05
MPCTASK: MPC->PID: xyz=x10, z_guard=[ref,ref+0.20], yaw=raw_rz, output_hold=200ms, safety_hold=500ms
MPCTASK: Reference origin: xyz=measured_at_forced_3s_start target_z=0.70 m
MPCTASK: Fixed baseline: w=0 qz=1 adaptive_cache=off
MPCTASK: LIMO posthoc: infeasible=nominal_fallback
MPCTASK: EXP every=2: m,s,tms,p3[mm],v3[mmps],att3[cdeg],ref3[mm],cmd3[mm],h/raw/grad/mar/thr[milli],act/ac/bind,wi/qi/cache/noa,pa/pf/du[milli],it,mpc/eval/total[us],bar/tanh/rl/cache/solve/step[cycles],overruns,post_active/post_infeasible_totals,wreq/w/qzreq/qz[milli],max_step_cycles
MPCTASK: Figure8: source=traj_fig8_12.h source_hz=100 samples=1205 laps=2 duration=24.07 s origin=forced_3s_start start_delay=3000ms z_baseline=measured_at_start
CONTROLLER: Using OutOfTree (6) controller
MPCTASK: Trajectory origin: x=-0.0 y=0.09
MPCTASK: OOT activated at z=0.01
MPCTASK: TAKEOFF START: trigger_z=0.15 start_z=0.01 target=0.70 hold=(-0.0,0.06) ramp=0.15m/s
MPCTASK: OOT loop 1 done
MPCTAMPCTASK: OOT loop 2 done
SK: MPC task loop 1
MPCTASK: x0: pos=(-0.0,0.06,0.MPCTASK: OOT loop 3 done
01) vel=(-0.0,-0.05,-0.0)
MPCTASK: ref: (-0.0,0.06,0.01)
MPCTASK: MPC solve start
MPCTASK: MPC solve done, iter=5
MPCTASK: MPC time=24496 us
MPCTASK: MPC stack free=1083 words
MPCTASK: setpoint: x=-0.0 y=0.06 z=0.07 preview_z=0.07
MPCTASK: MPC task loop 2
MPCTASK: MPC task loop 3
MPCTASK: TAKEOFF COMPLETE: t=3000ms z=0.43 vz=0.29; trajectory queued origin=(-0.12,0.14,0.43)
MPCTASK: TRAJ START: z=0.44 origin=(-0.12,0.14,0.43) EXP clock reset; Z metric begins at t+3s
MPCTASK: EXP,2,2,79,-130,140,461,40,-70,314,-200,59,-1136,-126,143,439,-176,456,444,-238,-65,478,69,69,1,1,0,0,0,0,0,1,1,0,5,18028,10230,28331,1739140,0,0,0,3064617,4816314,0,2,2,0,0,1000,1000,6214098
MPCTASK: EXP,2,4,180,-145,152,487,0,12,178,-727,213,-793,-137,162,439,-161,542,446,-212,258,795,69,69,1,1,0,0,0,0,0,1,1,0,5,20842,8779,29980,1492293,0,0,0,3543041,5096670,0,4,4,0,0,1000,1000,6214098
MPCTASK: EXP,2,6,282,-159,179,500,-51,206,1,-1405,464,-533,-172,229,439,-155,646,444,-199,-293,813,69,69,1,1,0,0,0,0,0,1,1,0,5,21821,9653,31546,1640796,0,0,0,3709514,5362869,0,6,6,0,0,1000,1000,6214098
MPCTASK: EXP,2,8,382,-201,237,500,-174,501,-66,-1646,484,-491,-225,348,440,-168,770,581,-212,-235,1358,69,69,1,1,0,0,0,0,0,1,0,697,5,21619,8674,31697,1474542,0,0,0,3675153,5388617,0,8,7,0,0,1000,1000,6214098
MPCTASK: EXP,2,10,487,-245,347,490,-246,874,-59,-1442,99,-764,-279,508,439,-144,908,439,-221,31,1114,69,69,1,1,0,0,0,0,0,1,1,0,5,25176,11579,37067,1968352,0,0,0,4279889,6301528,0,10,9,0,0,1000,1000,6301528
MPCTASK: EXP,2,12,584,-298,517,483,-202,1170,18,-340,-875,-1303,-318,687,439,-132,950,609,-216,24,1134,69,69,1,1,0,0,0,0,0,1,0,1100,5,21961,9922,33522,1686788,0,0,0,3733253,5698946,0,12,9,0,0,1000,1000,6614467
MPCTASK: EXP,2,14,683,-341,652,499,1,1092,200,868,-1906,-1555,-325,866,439,0,970,453,-200,144,1048,69,69,1,1,0,0,0,0,0,1,1,0,5,23671,8314,32057,1413164,0,0,0,4023985,5449720,0,14,10,0,0,1000,1000,6614467
MPCTASK: EXP,2,16,784,-345,728,536,285,730,291,1534,-2306,-1678,-294,1026,439,70,836,639,-163,-328,958,69,69,1,1,0,0,0,0,0,1,0,1293,5,21050,10770,33088,1830770,0,0,0,3578405,5624906,0,16,11,0,0,1000,1000,6614467
MPCTASK: EXP,2,18,883,-316,765,557,560,343,158,1474,-2508,-1846,-225,1155,439,74,645,639,-142,-405,1015,69,69,1,1,0,0,0,0,0,1,0,1133,5,24993,7244,33234,1231451,0,0,0,4248713,5649938,0,18,11,0,0,1000,1000,6614467
MPCTASK: EXP,2,20,983,-248,749,551,850,-85,53,1320,-1933,-2049,-125,1244,439,207,579,461,-148,46,947,69,69,1,1,0,0,0,0,0,1,1,0,5,21233,11668,32984,1983330,0,0,0,3609669,5607327,0,20,13,0,0,1000,1000,6614467
MPCTASK: EXP,2,22,1084,-148,659,528,1053,-448,-74,850,-1072,-2013,-6,1290,439,243,412,449,-186,146,911,69,69,1,1,0,0,0,0,0,1,1,0,5,25226,8020,33320,1363194,0,0,0,4288433,5664486,0,22,15,0,0,1000,1000,6614467
MPCTASK: EXP,2,24,1176,-47,575,502,1125,-611,-108,221,111,-1822,116,1292,439,215,310,441,-219,150,856,69,69,1,1,0,0,0,0,0,1,1,0,5,17727,8325,26127,1415174,0,0,0,3013513,4441763,0,24,17,0,0,1000,1000,6614467
MPCTASK: EXP,2,26,1281,92,510,490,1046,-569,-9,-217,1270,-1691,225,1253,439,180,250,441,-211,82,999,69,69,1,1,0,0,0,0,0,1,1,0,5,21282,9564,30919,1625832,0,0,0,3617825,5256222,0,26,19,0,0,1000,1000,6614467
MPCTASK: EXP,2,28,1388,149,480,506,696,-409,94,-221,2174,-1614,308,1177,439,59,246,639,-193,-457,1162,69,69,1,1,0,0,0,0,0,1,0,1053,5,23088,11691,37779,1987465,0,0,0,3924821,6422471,0,28,20,0,0,1000,1000,6614467
