SYS: Crazyflie 2.1 Brushless is up and running!
SYS: Build 2:de14ff9f08ae (2025.09.1 +2) MODIFIED
SYS: I am 0x373930393434471500370039 and I have 1024KB of flash!
CFGBLK: v1, verification [OK]
DECK_DISCOVERY: Backend found: onewire
DECK_DISCOVERY: Backend found: deckctrl
DECK_CORE: 1 deck(s) found
DECK_CORE: Calling INIT on driver bcFlow2 for deck 0
ZR2: Z-down sensor [OK]
PMW: Motion chip id: 0x49:0xB6
IMU: BMI088: Using I2C interface.
IMU: BMI088 Gyro connection [OK].
IMU: BMI088 Accel connection [OK]
IMU: BMP390 I2C connection [OK]
ESTIMATOR: Using Kalman (2) estimator
CONTROLLER: Using PID (1) controller
MTR-DRV: Using brushless motor driver
SYS: About to run tests in system.c.
SYS: NRF51 version: 2026.04 (C21B)
EEPROM: I2C connection [OK].
STORAGE: Storage check [OK].
IMU: BMI088 gyro self-test [OK]
DECK_CORE: Deck 0 test [OK].
SYS: Self test passed!
STAB: Wait for sensor calibration...
SYS: Free heap: 15048 bytes
MPCTASK: Waiting for activation ...
STAB: Starting stabilizer loop
ESTKALMAN: State out of bounds, resetting
STAB: WARNING: stabilizer loop rate is off (1004)
SUP: Ready to fly
MPCTASK: Benchmark mode 2, maneuver 4, max_iter 5, task_pri 0
MPCTASK: Reference altitude: 0.70 m; barrier skip when z>0.75 and vz>-0.20
MPCTASK: OOT takeoff: cfclient trigger>=0.15m ramp=0.15m/s forced_trajectory_start=3000ms timeout=12000ms
MPCTASK: Common baseline: mpc_hz=20 model_hz=20 rho=5 base_w=0 base_qz=1 Qz=100 R=4 bridge=x10 guards=z[ref,ref+0.20] xy=free cap=0.05
MPCTASK: MPC->PID: xyz=x10, z_guard=[ref,ref+0.20], yaw=raw_rz, output_hold=200ms, safety_hold=500ms
MPCTASK: Reference origin: xy=forced_3s_start z=0.70 m
MPCTASK: Fixed baseline: w=0 qz=1 adaptive_cache=off
MPCTASK: LIMO posthoc: infeasible=nominal_fallback
MPCTASK: EXP every=2: m,s,tms,p3[mm],v3[mmps],att3[cdeg],ref3[mm],cmd3[mm],h/raw/grad/mar/thr[milli],act/ac/bind,wi/qi/cache/noa,pa/pf/du[milli],it,mpc/eval/total[us],bar/tanh/rl/cache/solve/step[cycles],overruns,post_active/post_infeasible_totals,wreq/w/qzreq/qz[milli],max_step_cycles
MPCTASK: Figure8: source=traj_fig8_12.h source_hz=100 samples=1205 laps=2 duration=24.07 s origin=forced_3s_start z_offset=0.09 m
CONTROLLER: Using OutOfTree (6) controller
MPCTASK: Trajectory origin: x=-0.0 y=-0.03
MPCTASK: OOT activated at z=0.01
MPCTASK: TAKEOFF START: trigger_z=0.15 start_z=0.01 target=0.70 hold=(-0.01,-0.05) ramp=0.15m/s
MPCTASK: OOT loop 1 done
MPCTASK: OOT loop 2 done
MPCMPCTASK: OOT loop 3 done
TASK: MPC task loop 1
MPCTASK: x0: pos=(-0.01,-0.05,0.01) vel=(0.0,-0.0,-0.0)
MPCTASK: ref: (-0.01,-0.05,0.01)
MPCTASK: MPC solve start
MPCTASK: MPC solve done, iter=5
MPCTASK: MPC time=24662 us
MPCTASK: MPC stack free=1081 words
MPCTASK: setpoint: x=-0.01 y=-0.05 z=0.07 preview_z=0.07
MPCTASK: MPC task loop 2
MPCTASK: MPC task loop 3
MPCTASK: TAKEOFF COMPLETE: t=3000ms z=0.43 vz=0.23; trajectory queued origin=(-0.06,-0.01)
MPCTASK: TRAJ START: z=0.43 origin=(-0.06,-0.01) EXP clock reset
MPCTASK: EXP,2,2,84,-70,-19,447,-85,-1,242,195,-211,-416,-64,-15,700,-133,289,700,-252,-11,565,69,69,1,1,0,0,0,0,0,1,1,0,5,22535,11540,34342,1961668,0,0,0,3830930,5838113,0,2,2,0,0,1000,1000,5838113
MPCTASK: EXP,2,4,181,-87,-19,480,-52,19,414,-631,-82,-398,-75,3,700,-106,368,700,-219,348,741,69,69,1,1,0,0,0,0,0,1,1,0,5,20076,10432,30582,1773300,0,0,0,3412846,5199168,0,4,4,0,0,1000,1000,6263752
MPCTASK: EXP,2,6,281,-83,-14,532,-39,208,558,-1343,190,-363,-109,70,700,-60,460,700,-167,-28,733,69,69,1,1,0,0,0,0,0,1,1,0,5,21019,9966,31059,1694217,0,0,0,3573045,5280065,0,6,6,0,0,1000,1000,6263752
MPCTASK: EXP,2,8,382,-93,13,587,-61,437,493,-1572,162,-366,-162,189,700,-23,544,700,-112,102,768,69,69,1,1,0,0,0,0,0,1,1,0,5,20256,11320,32011,1924343,0,0,0,3443342,5441959,0,8,8,0,0,1000,1000,6263752
MPCTASK: EXP,2,10,480,-89,36,627,-47,609,365,-1593,55,-364,-217,348,700,28,589,700,-72,115,680,69,69,1,1,0,0,0,0,0,1,1,0,5,21030,9359,30535,1591100,0,0,0,3575021,5191096,0,10,10,0,0,1000,1000,6263752
MPCTASK: EXP,2,12,585,-101,117,658,-43,862,234,-1295,-148,-385,-255,528,700,-60,543,879,-41,-20,515,69,69,1,1,0,0,0,0,0,1,0,1012,5,23144,9158,34036,1556701,0,0,0,3934489,5786255,0,12,10,0,0,1000,1000,6263752
MPCTASK: EXP,2,14,684,-112,169,683,7,972,393,-404,-313,-450,-263,707,700,85,639,845,-16,322,498,69,69,1,1,0,0,0,0,0,1,0,781,5,22021,9584,33837,1629169,0,0,0,3743485,5752390,0,14,10,0,0,1000,1000,6263752
MPCTASK: EXP,2,16,783,-118,268,726,97,998,495,30,-834,-491,-232,867,700,133,657,761,26,85,447,69,69,1,1,0,0,0,0,0,1,0,282,5,22238,8792,32965,1494467,0,0,0,3780437,5604089,0,16,10,0,0,1000,1000,6263752
MPCTASK: EXP,2,18,884,-106,347,775,216,946,435,355,-925,-456,-163,996,699,155,641,717,75,131,449,69,69,0,0,0,0,0,0,0,0,0,0,5,21656,11618,33351,1974999,0,0,0,3681525,5669784,0,17,10,0,0,1000,1000,6263752
MPCTASK: EXP,2,20,983,-77,436,813,330,854,181,622,-702,-404,-62,1085,699,156,620,718,113,26,214,69,69,0,0,0,0,0,0,0,0,0,0,5,22206,9594,31869,1630847,0,0,0,3774929,5417807,0,17,10,0,0,1000,1000,6263752
MPCTASK: EXP,2,22,1082,-31,512,824,413,743,0,854,-374,-331,56,1131,699,147,579,715,124,-31,229,69,69,0,0,0,0,0,0,0,0,0,0,5,21001,9822,30892,1669650,0,0,0,3570093,5251770,0,17,10,0,0,1000,1000,6263752
MPCTASK: EXP,2,24,1186,0,566,819,424,565,-78,1156,-13,-251,178,1133,699,102,502,711,103,-79,343,69,69,0,0,0,0,0,0,0,0,0,0,5,23613,11425,35108,1942156,0,0,0,4014235,5968418,0,17,10,0,0,1000,1000,6263752
MPCTASK: EXP,2,26,1281,27,569,815,386,319,-84,1358,250,-175,288,1094,699,46,377,709,98,10,575,69,69,0,0,0,0,0,0,0,0,0,0,5,19161,9916,29148,1685646,0,0,0,3257297,4955200,0,17,10,0,0,1000,1000,6263752
