s up and running!
SYS: Build 2:de14ff9f08ae (2025.09.1 +2) MODIFIED
SYS: I am 0x373930393434471500370039 and I have 1024KB of flash!
CFGBLK: v1, verification [OK]
DECK_DISCOVERY: Backend found: onewire
DECK_DISCOVERY: Backend found: deckctrl
DECK_CORE: 1 deck(s) found
DECK_CORE: Calling INIT on driver bcFlow2 for deck 0
ZR2: Z-down sensor [OK]
PMW: Motion chip id: 0x49:0xB6
IMU: BMI088: Using I2C interface.
IMU: BMI088 Gyro connection [OK].
IMU: BMI088 Accel connection [OK]
IMU: BMP390 I2C connection [OK]
ESTIMATOR: Using Kalman (2) estimator
CONTROLLER: Using PID (1) controller
MTR-DRV: Using brushless motor driver
SYS: About to run tests in system.c.
SYS: NRF51 version: 2026.04 (C21B)
EEPROM: I2C connection [OK].
STORAGE: Storage check [OK].
IMU: BMI088 gyro self-test [OK]
DECK_CORE: Deck 0 test [OK].
SYS: Self test passed!
STAB: Wait for sensor calibration...
SYS: Free heap: 15048 bytes
MPCTASK: Waiting for activation ...
STAB: Starting stabilizer loop
STAB: WARNING: stabilizer loop rate is off (1004)
SUP: Ready to fly
MPCTASK: Benchmark mode 2, maneuver 4, max_iter 5, task_pri 0
MPCTASK: Reference altitude: 0.70 m; barrier skip when z>0.75 and vz>-0.20
MPCTASK: OOT takeoff: cfclient trigger>=0.15m ramp=0.15m/s forced_trajectory_start=2000ms timeout=12000ms
MPCTASK: Common baseline: mpc_hz=20 model_hz=20 rho=5 base_w=0 base_qz=1 Qz=100 R=4 bridge=x10 guards=z[ref,ref+0.20] xy=free cap=0.05
MPCTASK: MPC->PID: xyz=x10, z_guard=[ref,ref+0.20], yaw=raw_rz, output_hold=200ms, safety_hold=500ms
MPCTASK: Reference origin: xy=forced_3s_start z=0.70 m
MPCTASK: Fixed baseline: w=0 qz=1 adaptive_cache=off
MPCTASK: LIMO posthoc: infeasible=nominal_fallback
MPCTASK: EXP every=2: m,s,tms,p3[mm],v3[mmps],att3[cdeg],ref3[mm],cmd3[mm],h/raw/grad/mar/thr[milli],act/ac/bind,wi/qi/cache/noa,pa/pf/du[milli],it,mpc/eval/total[us],bar/tanh/rl/cache/solve/step[cycles],overruns,post_active/post_infeasible_totals,wreq/w/qzreq/qz[milli],max_step_cycles
MPCTASK: Figure8: source=traj_fig8_12.h source_hz=100 samples=1205 laps=2 duration=24.07 s origin=forced_3s_start z_offset=0.09 m
CONTROLLER: Using OutOfTree (6) controller
MPCTASK: Trajectory origin: x=0.01 y=0.0
MPCTASK: OOT activated at z=0.01
MPCTASK: TAKEOFF START: trigger_z=0.15 start_z=0.01 target=0.70 hold=(0.01,-0.0) ramp=0.15m/s
MPCTASK: OOT loop 1 done
MPCTASK: MPC task loop 1
MPCTASK: x0: pos=(0.01,-0.0,0.01)MPCTASK: OOT loop 2 done
 vel=(0.0,0.0,-0.0)
MPCTASK: OOT loop 3 done
MPCTASK: ref: (0.01,-0.0,0.01)
MPCTASK: MPC solve start
MPCTASK: MPC solve done, iter=5
MPCTASK: MPC time=24690 us
MPCTASK: MPC stack free=1081 words
MPCTASK: setpoint: x=0.01 y=-0.0 z=0.07 preview_z=0.07
MPCTASK: MPC task loop 2
MPCTASK: MPC task loop 3
MPCTASK: TAKEOFF COMPLETE: t=2000ms z=0.14 vz=0.21; trajectory queued origin=(0.0,-0.01)
MPCTASK: TRAJ START: z=0.14 origin=(0.0,-0.01) EXP clock reset
MPCTASK: EXP,2,2,85,13,-44,161,51,-316,249,-625,-20,-922,8,-18,700,-32,242,700,-538,-339,1008,72,72,1,1,0,0,0,0,0,1,1,0,5,21628,12928,35022,2197737,0,0,0,3676797,5953818,0,2,2,0,0,1000,1000,5953818
MPCTASK: EXP,2,4,181,23,-68,198,64,-120,490,-1297,342,-869,-2,0,700,3,334,700,-501,-138,1357,71,71,1,1,0,0,0,0,0,1,1,0,5,21068,10073,31221,1712308,0,0,0,3581481,5307550,0,4,4,0,0,1000,1000,5953818
MPCTASK: EXP,2,6,280,25,-64,257,4,240,749,-1741,587,-824,-37,67,700,31,455,700,-442,-395,1710,69,69,1,1,0,0,0,0,0,1,1,0,5,19472,10351,30364,1759677,0,0,0,3310218,5162011,0,6,6,0,0,1000,1000,5953818
MPCTASK: EXP,2,8,382,12,-21,341,-79,602,867,-1704,441,-920,-90,186,700,58,569,700,-358,-177,1169,69,69,1,1,0,0,0,0,0,1,1,0,5,19983,9913,29968,1685109,0,0,0,3397030,5094730,0,8,8,0,0,1000,1000,5953818
MPCTASK: EXP,2,10,484,9,59,426,-75,887,801,-1431,131,-821,-144,345,700,112,664,700,-273,-21,904,69,69,1,1,0,0,0,0,0,1,1,0,5,21578,10923,32685,1856964,0,0,0,3668082,5556574,0,10,10,0,0,1000,1000,5953818
MPCTASK: EXP,2,12,586,0,167,497,-54,1096,659,-942,-171,-741,-182,525,700,155,741,700,-202,106,697,69,69,1,1,0,0,0,0,0,1,1,0,5,24572,9957,34939,1692658,0,0,0,4177070,5939833,0,12,12,0,0,1000,1000,5953818
MPCTASK: EXP,2,14,683,2,278,553,13,1189,533,-429,-463,-589,-190,704,700,199,783,700,-146,14,513,69,69,1,1,0,0,0,0,0,1,1,0,5,19958,11522,31563,1958554,0,0,0,3392777,5365789,0,14,14,0,0,1000,1000,5953818
MPCTASK: EXP,2,16,784,15,397,602,114,1209,445,87,-586,-425,-159,864,700,237,804,700,-97,0,462,69,69,1,1,0,0,0,0,0,1,1,0,5,22626,9549,32248,1623230,0,0,0,3846325,5482146,0,16,16,0,0,1000,1000,5953818
MPCTASK: EXP,2,18,884,40,515,649,220,1149,377,641,-594,-292,-90,993,699,263,797,875,-50,-16,414,69,69,1,1,0,0,0,0,0,1,0,976,5,19951,10368,32672,1762390,0,0,0,3391657,5554373,0,18,16,0,0,1000,1000,5953818
MPCTASK: EXP,2,20,984,48,609,698,279,957,485,1099,-499,-260,9,1082,699,244,742,777,-1,62,533,69,69,1,1,0,0,0,0,0,1,0,402,5,23996,8123,32884,1380826,0,0,0,4079173,5590399,0,20,16,0,0,1000,1000,5953818
MPCTASK: EXP,2,22,1088,58,665,750,309,689,462,1439,-371,-253,128,1128,699,206,642,711,50,164,496,69,69,0,0,0,0,0,0,0,0,0,0,5,24174,12697,36946,2158280,0,0,0,4109537,6280821,0,21,16,0,0,1000,1000,6280821
MPCTASK: EXP,2,24,1182,91,714,790,341,473,249,1461,-104,-266,251,1130,699,169,568,714,90,-100,388,69,69,0,0,0,0,0,0,0,0,0,0,5,20935,9531,30538,1620318,0,0,0,3558888,5191666,0,21,16,0,0,1000,1000,6280821
MPCTASK: EXP,2,26,1287,125,737,795,319,250,8,1483,344,-270,361,1090,699,111,473,707,95,-100,423,69,69,0,0,0,0,0,0,0,0,0,0,5,21003,14835,35907,2521846,0,0,0,3570341,6104618,0,21,16,0,0,1000,1000,6280821
MPCTASK: EXP,2,28,1385,155,738,792,231,-10,-59,1501,653,-243,443,1014,700,45,353,704,80,40,644,69,69,0,0,0,0,0,0,0,0,0,0,5,26146,7626,33841,1296258,0,0,0,4444737,5753031,0,21,16,0,0,1000,1000,6280821
MPCTASK: EXP,2,30,1484,174,712,784,93,-288,-61,1477,858,-251,488,906,700,-26,213,702,72,121,683,69,69,0,0,0,0,0,0,0,0,0,0,5,21652,10688,32644,1816934,0,0,0,3680925,5549516,0,21,16,0,0,1000,1000,6280821
MPCTASK: EXP,2,32,1585,174,625,776,-78,-602,-57,1352,926,-287,487,771,700,-102,30,700,64,37,509,69,69,0,0,0,0,0,0,0,0,0,0,5,23303,9994,33366,1698954,0,0,0,3961425,5672422,0,21,16,0,0,1000,1000,6280821
MPCTASK: EXP,2,34,1690,167,537,768,-242,-840,-37,1074,864,-331,439,616,700,-157,-119,700,61,-12,327,69,69,0,0,0,0,0,0,0,0,0,0,5,22721,15669,38469,2663653,0,0,0,3862420,6539860,0,21,16,0,0,1000,1000,6539860
MPCTASK: EXP,2,36,1783,110,401,759,-439,-1058,-12,721,819,-385,349,444,700,-241,-287,700,56,-5,300,69,69,0,0,0,0,0,0,0,0,0,0,5,22036,9566,31672,1626283,0,0,0,3746073,5384565,0,21,16,0,0,1000,1000,6539860
MPCTASK: EXP,2,38,1886,43,288,757,-599,-1141,39,233,594,-441,224,261,700,-296,-392,700,57,5,254,69,69,0,0,0,0,0,0,0,0,0,0,5,22880,10727,33684,1823520,0,0,0,3889549,5726457,0,21,16,0,0,1000,1000,6539860
MPCTASK: EXP,2,40,1987,8,104,762,-656,-1225,89,-158,330,-614,77,73,700,-289,-548,701,62,-17,168,69,69,0,0,0,0,0,0,0,0,0,0,5,24981,10204,35298,1734652,0,0,0,4246633,6000792,0,21,16,0,0,1000,1000,6539860
MPCTASK: EXP,2,42,2085,-60,29,781,-697,-1110,145,-532,185,-784,-77,-116,700,-295,-564,709,81,-25,192,69,69,0,0,0,0,0,0,0,0,0,0,5,19553,12920,32541,2196362,0,0,0,3323857,5532115,0,21,16,0,0,1000,1000,6539860
MPCTASK: EXP,2,44,2185,-154,-28,802,-727,-956,142,-470,31,-1058,-225,-302,700,-311,-587,716,102,101,247,69,69,0,0,0,0,0,0,0,0,0,0,5,24994,7710,32773,1310514,0,0,0,4248885,5571445,0,21,16,0,0,1000,1000,6539860
MPCTASK: EXP,2,46,2288,-243,-51,814,-700,-847,52,117,-756,-1270,-350,-480,700,-263,-620,714,114,411,557,69,69,0,0,0,0,0,0,0,0,0,0,5,21633,14143,36133,2404225,0,0,0,3677493,6142688,0,21,16,0,0,1000,1000,6539860
MPCTASK: EXP,2,48,2387,-368,-50,824,-597,-847,11,567,-1722,-1331,-440,-647,700,-227,-638,715,124,-61,485,69,69,0,0,0,0,0,0,0,0,0,0,5,22497,11643,34212,1979367,0,0,0,3824409,5816126,0,21,16,0,0,1000,1000,6539860
