SYS: Crazyflie 2.1 Brushless is up and running!
SYS: Build 2:de14ff9f08ae (2025.09.1 +2) MODIFIED
SYS: I am 0x373930393434471500370039 and I have 1024KB of flash!
CFGBLK: v1, verification [OK]
DECK_DISCOVERY: Backend found: onewire
DECK_DISCOVERY: Backend found: deckctrl
DECK_CORE: 1 deck(s) found
DECK_CORE: Calling INIT on driver bcFlow2 for deck 0
ZR2: Z-down sensor [OK]
PMW: Motion chip id: 0x49:0xB6
IMU: BMI088: Using I2C interface.
IMU: BMI088 Gyro connection [OK].
IMU: BMI088 Accel connection [OK]
IMU: BMP390 I2C connection [OK]
ESTIMATOR: Using Kalman (2) estimator
CONTROLLER: Using PID (1) controller
MTR-DRV: Using brushless motor driver
SYS: About to run tests in system.c.
SYS: NRF51 version: 2026.04 (C21B)
EEPROM: I2C connection [OK].
STORAGE: Storage check [OK].
IMU: BMI088 gyro self-test [OK]
DECK_CORE: Deck 0 test [OK].
SYS: Self test passed!
STAB: Wait for sensor calibration...
SYS: Free heap: 15048 bytes
MPCTASK: Waiting for activation ...
STAB: Starting stabilizer loop
STAB: WARNING: stabilizer loop rate is off (1004)
SUP: Ready to fly
MPCTASK: Benchmark mode 2, maneuver 4, max_iter 5, task_pri 0
MPCTASK: Reference altitude: 0.70 m; barrier skip when z>0.75 and vz>-0.20
MPCTASK: OOT takeoff: GATED cfclient trigger>=0.15m ramp=0.15m/s settle=+/-0.05m,vz<0.10m/s,1000ms timeout=12000ms
MPCTASK: Common baseline: mpc_hz=20 model_hz=20 rho=5 base_w=0 base_qz=1 Qz=100 R=4 bridge=x10 guards=z[ref,ref+0.20] xy=free cap=0.05
MPCTASK: MPC->PID: xyz=x10, z_guard=[ref,ref+0.20], yaw=raw_rz, output_hold=200ms, safety_hold=500ms
MPCTASK: Reference origin: xy=post_takeoff_settle z=0.70 m
MPCTASK: Fixed baseline: w=0 qz=1 adaptive_cache=off
MPCTASK: LIMO posthoc: infeasible=nominal_fallback
MPCTASK: EXP every=2: m,s,tms,p3[mm],v3[mmps],att3[cdeg],ref3[mm],cmd3[mm],h/raw/grad/mar/thr[milli],act/ac/bind,wi/qi/cache/noa,pa/pf/du[milli],it,mpc/eval/total[us],bar/tanh/rl/cache/solve/step[cycles],overruns,post_active/post_infeasible_totals,wreq/w/qzreq/qz[milli],max_step_cycles
MPCTASK: Figure8: source=traj_fig8_12.h source_hz=100 samples=1205 laps=2 duration=24.07 s origin=post_takeoff_settle z_offset=0.09 m
CONTROLLER: Using OutOfTree (6) controller
MPCTASK: Trajectory origin: x=-0.01 y=-0.13
MPCTASK: OOT activated at z=0.01
MPCTASK: TAKEOFF START: trigger_z=0.15 start_z=0.01 target=0.70 hold=(-0.0,-0.12) ramp=0.15m/s
MPCTASK: OOT loop 1 done
MPCTASK: MPC task loop 1MPCTASK: OOT loop 2 done

MPCTASK: x0: pos=(-0.0,-0.12,0.01) vel=(-0.0,0.02,-0.0)
MPCTASK: OOT loop 3 done
MPCTASK: ref: (-0.0,-0.12,0.01)
MPCTASK: MPC solve start
MPCTASK: MPC solve done, iter=5
MPCTASK: MPC time=24110 us
MPCTASK: MPC stack free=1059 words
MPCTASK: setpoint: x=-0.0 y=-0.12 z=0.07 preview_z=0.07
MPCTASK: MPC task loop 2
MPCTASK: MPC task loop 3
MPCTASK: TAKEOFF SETTLING: z=0.72 vz=0.09; hold for 1000ms
MPCTASK: TAKEOFF SETTLING: z=0.74 vz=-0.06; hold for 1000ms
MPCTASK: TAKEOFF SETTLING: z=0.74 vz=-0.07; hold for 1000ms
MPCTASK: TAKEOFF SETTLING: z=0.74 vz=0.03; hold for 1000ms
MPCTASK: TAKEOFF SETTLING: z=0.74 vz=-0.03; hold for 1000ms
MPCTASK: TAKEOFF COMPLETE: t=9946ms z=0.73 vz=-0.0; trajectory queued origin=(-0.04,-0.11)
MPCTASK: TRAJ START: z=0.73 origin=(-0.04,-0.11) EXP clock reset; Z metric begins at t+3s
MPCTASK: EXP,2,2,84,-26,-105,732,158,20,-9,266,161,-327,-44,-109,700,-57,204,700,30,186,372,69,69,1,1,0,0,0,0,0,1,1,0,5,24309,9380,33762,1594486,0,0,0,4132504,5739615,0,2,2,0,0,1000,1000,6171104
MPCTASK: EXP,2,4,187,-12,-116,729,122,-2,-16,-482,253,-267,-55,-90,700,-19,258,780,25,342,512,69,69,1,1,0,0,0,0,0,1,0,459,5,24224,10716,36726,1821722,0,0,0,4118056,6243426,0,4,3,0,0,1000,1000,6243426
MPCTASK: EXP,2,6,286,-2,-123,730,59,142,11,-1331,501,-152,-90,-23,700,11,340,812,30,-95,445,69,69,1,1,0,0,0,0,0,1,0,617,5,24917,9455,35191,1607264,0,0,0,4235744,5982651,0,6,3,0,0,1000,1000,6243426
MPCTASK: EXP,2,8,388,-15,-94,745,-33,427,131,-1546,279,-162,-143,95,700,40,434,751,45,-84,442,69,69,1,1,0,0,0,0,0,1,0,269,5,22372,13677,38016,2325113,0,0,0,3803048,6462781,0,8,3,0,0,1000,1000,6462781
MPCTASK: EXP,2,10,486,-35,-37,755,-72,676,110,-1390,-36,-168,-197,254,700,73,512,700,55,-124,381,69,69,0,0,0,0,0,0,0,0,0,0,5,23826,9982,33884,1696907,0,0,0,4050308,5760273,0,8,3,0,0,1000,1000,6462781
MPCTASK: EXP,2,12,586,-59,55,755,-53,901,-32,-980,-440,-133,-236,434,700,112,587,700,48,21,361,69,69,0,0,0,0,0,0,0,0,0,0,5,22964,10337,33369,1757194,0,0,0,3903728,5672802,0,8,3,0,0,1000,1000,6462781
MPCTASK: EXP,2,14,684,-65,166,743,38,1048,-102,-441,-708,-75,-243,613,700,157,639,700,23,80,375,69,69,1,1,0,0,0,0,0,1,1,0,5,22028,9756,31857,1658443,0,0,0,3744752,5415786,0,9,4,0,0,1000,1000,6462781
MPCTASK: EXP,2,16,788,-50,283,735,184,1092,-65,141,-855,0,-212,773,700,209,663,700,22,-17,348,69,69,1,1,0,0,0,0,0,1,1,0,5,24324,11336,35731,1926929,0,0,0,4135008,6074378,0,11,6,0,0,1000,1000,6462781
MPCTASK: EXP,2,18,884,-35,390,735,306,1045,-18,619,-778,45,-143,902,699,227,656,699,32,-25,304,69,69,1,1,0,0,0,0,0,1,1,0,5,22600,9484,32158,1612257,0,0,0,3841860,5466870,0,13,8,0,0,1000,1000,6462781
MPCTASK: EXP,2,20,987,0,471,740,425,877,-2,1058,-613,83,-43,991,699,240,600,699,39,-73,331,69,69,1,1,0,0,0,0,0,1,1,0,5,24840,9962,34874,1693523,0,0,0,4222684,5928642,0,15,10,0,0,1000,1000,6462781
MPCTASK: EXP,2,22,1084,42,521,739,498,644,-44,1249,-289,81,75,1037,699,226,514,788,30,-112,437,69,69,1,1,0,0,0,0,0,1,0,492,5,20957,9936,31713,1688939,0,0,0,3562596,5391184,0,17,10,0,0,1000,1000,6462781
MPCTASK: EXP,2,24,1190,127,578,737,567,411,18,1351,83,27,198,1039,699,233,435,785,37,-130,423,69,69,1,1,0,0,0,0,0,1,0,467,5,25331,11024,37711,1873961,0,0,0,4306328,6410931,0,19,10,0,0,1000,1000,6462781
MPCTASK: EXP,2,26,1287,133,573,746,434,68,100,1415,542,-5,308,999,699,127,288,762,46,23,426,69,69,1,1,0,0,0,0,0,1,0,327,5,22818,10168,34517,1728422,0,0,0,3879028,5867879,0,21,10,0,0,1000,1000,6462781
MPCTASK: EXP,2,28,1385,175,560,751,352,-159,81,1299,649,-50,390,923,700,79,171,700,51,-9,374,69,69,0,0,0,0,0,0,0,0,0,0,5,20877,11893,32838,2021596,0,0,0,3549037,5582514,0,22,10,0,0,1000,1000,6462781
MPCTASK: EXP,2,30,1487,209,516,757,226,-398,31,1238,951,-164,435,815,700,12,33,700,57,-51,346,69,69,0,0,0,0,0,0,0,0,0,0,5,24136,10380,34586,1764578,0,0,0,4103176,5879630,0,22,10,0,0,1000,1000,6462781
